ts,open,high,low,close,volume,source,collected_at
2026-05-26T22:30:00+09:00,72.4,73.19,72.4,72.97,10796.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:31:00+09:00,73.0,73.325,72.7101,73.265,9281.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:32:00+09:00,73.265,73.74,73.265,73.675,14642.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:33:00+09:00,73.675,73.839,73.045,73.34,22495.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:34:00+09:00,73.34,73.99,73.2301,73.84,18222.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:35:00+09:00,73.84,73.99,73.66,73.925,8190.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:36:00+09:00,73.925,74.2,73.805,73.805,14189.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:37:00+09:00,73.73,73.75,73.33,73.64,14167.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:38:00+09:00,73.51,73.84,73.51,73.73,6423.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:39:00+09:00,73.73,73.87,73.655,73.745,6226.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:40:00+09:00,73.8,74.0615,73.71,73.935,21064.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:41:00+09:00,73.935,74.09,73.8701,74.01,8292.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:42:00+09:00,74.05,74.405,74.01,74.37,10574.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:43:00+09:00,74.37,74.5255,74.17,74.17,15753.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:44:00+09:00,74.17,74.37,73.95,74.37,21949.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:45:00+09:00,74.305,74.5976,74.2401,74.545,10758.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:46:00+09:00,74.532,74.7,74.5,74.655,14064.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:47:00+09:00,74.655,74.88,74.59,74.64,49014.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:48:00+09:00,74.64,74.685,74.44,74.54,33463.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:49:00+09:00,74.54,74.685,74.41,74.43,50725.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:50:00+09:00,74.43,74.47,74.2704,74.335,28292.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:51:00+09:00,74.335,74.665,74.27,74.545,9628.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:52:00+09:00,74.545,74.84,74.545,74.815,6416.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:53:00+09:00,74.815,74.9,74.735,74.735,13051.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:54:00+09:00,74.735,74.82,74.66,74.74,7105.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:55:00+09:00,74.74,74.8399,74.74,74.77,6986.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:56:00+09:00,74.77,74.93,74.77,74.905,23441.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:57:00+09:00,74.905,75.22,74.8709,75.22,25566.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:58:00+09:00,75.22,75.22,75.02,75.115,12861.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T22:59:00+09:00,75.115,75.29,75.115,75.29,15238.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:00:00+09:00,75.29,75.33,75.06,75.22,57819.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:01:00+09:00,75.22,75.44,75.16,75.44,8407.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:02:00+09:00,75.44,75.57,75.41,75.4669,10063.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:03:00+09:00,75.4669,75.4669,75.18,75.22,11862.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:04:00+09:00,75.22,75.26,74.91,75.217,51676.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:05:00+09:00,75.217,75.217,74.56,74.695,27733.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:06:00+09:00,74.695,74.81,74.45,74.61,12046.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:07:00+09:00,74.61,74.6108,74.47,74.59,7033.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:08:00+09:00,74.59,74.79,74.51,74.76,8115.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:09:00+09:00,74.76,74.845,74.495,74.57,13243.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:10:00+09:00,74.57,74.57,74.29,74.29,5509.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:11:00+09:00,74.29,74.32,74.145,74.15,7001.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:12:00+09:00,74.15,74.26,73.89,74.14,13326.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:13:00+09:00,74.14,74.14,73.81,73.965,14495.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:14:00+09:00,73.965,74.23,73.89,73.995,9544.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:15:00+09:00,73.995,74.09,73.9,73.98,11953.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:16:00+09:00,73.98,74.4,73.98,74.32,9787.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:17:00+09:00,74.32,74.44,74.3001,74.355,7864.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:18:00+09:00,74.355,74.355,74.13,74.2302,4758.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:19:00+09:00,74.2302,74.28,74.1,74.2799,4629.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:20:00+09:00,74.2799,74.2799,74.21,74.21,2815.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:21:00+09:00,74.21,74.217,74.14,74.217,6320.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:22:00+09:00,74.217,74.217,74.11,74.11,2766.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:23:00+09:00,74.11,74.11,73.76,73.76,4971.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:24:00+09:00,73.795,73.795,73.6,73.6,10739.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:25:00+09:00,73.6,73.825,73.6,73.72,5631.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:26:00+09:00,73.72,73.81,73.62,73.81,4691.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:27:00+09:00,73.81,73.83,73.73,73.78,4073.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:28:00+09:00,73.78,73.78,73.51,73.51,2512.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:29:00+09:00,73.5304,73.74,73.5304,73.74,6107.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:30:00+09:00,73.74,73.74,73.67,73.67,1575.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:31:00+09:00,73.67,73.67,73.55,73.55,6149.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:32:00+09:00,73.55,73.5975,73.55,73.55,4952.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:33:00+09:00,73.55,73.67,73.44,73.5964,12916.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:34:00+09:00,73.5964,73.68,73.5,73.68,12147.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:35:00+09:00,73.68,73.78,73.65,73.72,7100.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:36:00+09:00,73.72,73.8,73.72,73.8,6073.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:37:00+09:00,73.8,73.82,73.6925,73.76,11480.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:38:00+09:00,73.76,73.98,73.76,73.96,5256.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:39:00+09:00,73.96,74.01,73.955,73.98,2187.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:40:00+09:00,73.98,74.04,73.9413,74.04,2928.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:41:00+09:00,74.04,74.08,74.04,74.04,3236.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:42:00+09:00,74.04,74.04,73.995,74.025,3588.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:43:00+09:00,74.025,74.05,74.0,74.03,3340.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:44:00+09:00,74.03,74.03,73.86,73.885,8360.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:45:00+09:00,73.885,73.98,73.77,73.98,6060.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:46:00+09:00,73.98,73.98,73.97,73.98,1520.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:47:00+09:00,73.98,74.02,73.95,74.01,3581.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:48:00+09:00,74.01,74.01,73.9,73.935,3174.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:49:00+09:00,73.935,73.9999,73.89,73.89,3378.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:50:00+09:00,73.89,74.08,73.8818,74.064,6274.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:51:00+09:00,74.064,74.08,74.03,74.08,2355.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:52:00+09:00,74.08,74.3,74.08,74.165,8065.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:53:00+09:00,74.165,74.2299,74.14,74.18,1151.0,kis_us_intraday,2026-05-27T02:09:39+09:00
