ts,open,high,low,close,volume,source,collected_at
2026-05-26T22:30:00+09:00,430.02,433.12,430.0,431.58,676112.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:31:00+09:00,431.58,432.381,430.66,431.39,220597.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:32:00+09:00,431.39,433.67,431.2547,432.93,224570.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:33:00+09:00,432.93,433.15,431.7001,432.315,211871.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:34:00+09:00,432.315,433.25,431.7,432.44,164338.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:35:00+09:00,432.44,432.63,431.06,431.1355,191548.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:36:00+09:00,431.1355,431.5,429.16,429.4,251255.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:37:00+09:00,429.4,429.47,428.47,428.48,213819.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:38:00+09:00,428.49,429.26,428.11,428.87,174360.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:39:00+09:00,428.87,429.65,428.42,428.825,152977.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:40:00+09:00,428.825,428.86,427.64,428.4,186309.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:41:00+09:00,428.4,428.77,427.85,428.47,90879.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:42:00+09:00,428.42,429.3999,428.02,429.0537,151354.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:43:00+09:00,429.0537,429.25,428.0,428.22,104756.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:44:00+09:00,428.22,429.27,428.1,428.7236,115452.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:45:00+09:00,428.7236,429.47,428.54,429.3,98744.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:46:00+09:00,429.37,430.21,429.08,429.96,132127.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:47:00+09:00,430.0,430.3299,429.0201,429.1139,124192.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:48:00+09:00,429.1139,430.2,429.11,429.71,93759.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:49:00+09:00,429.71,429.87,428.61,429.695,113559.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:50:00+09:00,429.695,430.5,429.695,430.25,136095.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:51:00+09:00,430.21,431.63,430.1355,431.5999,158646.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:52:00+09:00,431.5999,432.24,431.4801,431.92,185741.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:53:00+09:00,431.895,431.9499,430.6,431.12,136961.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:54:00+09:00,431.12,431.89,431.09,431.765,87605.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:55:00+09:00,431.765,432.2,431.501,432.11,113093.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:56:00+09:00,432.11,432.11,429.69,430.07,171472.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:57:00+09:00,430.07,430.3518,429.0001,429.25,102210.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:58:00+09:00,429.245,429.3,428.66,428.76,130766.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T22:59:00+09:00,428.76,430.8999,428.24,430.8,149388.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:00:00+09:00,430.8533,431.25,430.05,431.0,192757.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:01:00+09:00,431.0,431.5,430.7,431.29,127242.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:02:00+09:00,431.29,431.58,430.78,430.88,77874.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:03:00+09:00,430.88,431.02,430.4,430.525,85510.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:04:00+09:00,430.525,430.5999,429.68,430.54,117011.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:05:00+09:00,430.54,430.8999,429.8001,430.14,70257.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:06:00+09:00,430.14,430.21,428.83,429.085,96979.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:07:00+09:00,429.085,429.48,429.005,429.0451,66842.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:08:00+09:00,429.0451,429.98,428.97,429.17,64477.0,kis_us_intraday,2026-05-27T02:08:56+09:00
2026-05-26T23:09:00+09:00,429.265,429.265,428.77,429.08,82523.0,kis_us_intraday,2026-05-27T02:08:56+09:00
