2026-03-23 13:37:56 [INFO    ] call_analyst:162 | [analyst_r1] neutral NEUTRAL
2026-03-23 13:38:16 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 13:43:17 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 13:48:18 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 13:53:19 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 13:58:20 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:03:21 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:08:24 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:13:25 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:18:25 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:23:25 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:28:26 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:33:26 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:38:43 [INFO    ] call_analyst:162 | [analyst_r1] bull MILD_BULL
2026-03-23 14:38:56 [INFO    ] call_analyst:162 | [analyst_r1] bear DEFENSIVE
2026-03-23 14:39:10 [INFO    ] call_analyst:162 | [analyst_r1] neutral NEUTRAL
2026-03-23 14:39:31 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:44:32 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:49:32 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:54:32 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 14:59:33 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:04:33 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:09:41 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:14:42 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:19:42 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:24:43 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:29:43 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:34:43 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:40:01 [INFO    ] call_analyst:162 | [analyst_r1] bull MILD_BULL
2026-03-23 15:40:14 [INFO    ] call_analyst:162 | [analyst_r1] bear DEFENSIVE
2026-03-23 15:40:28 [INFO    ] call_analyst:162 | [analyst_r1] neutral NEUTRAL
2026-03-23 15:40:46 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 15:45:46 [INFO    ] run_cycle:880 | [skip KR] 252670 invalid price
2026-03-23 22:20:11 [INFO    ] call_analyst:162 | [analyst_r1] bull MILD_BULL
2026-03-23 22:20:25 [INFO    ] call_analyst:162 | [analyst_r1] bear HALT
2026-03-23 22:20:38 [INFO    ] call_analyst:162 | [analyst_r1] neutral MILD_BEAR
2026-03-23 22:20:54 [INFO    ] session_open:736 | [screen 2026-03-23 US] candidates=30
2026-03-23 22:21:01 [INFO    ] select_tickers:376 | [selection] US ['TZA', 'SPDN', 'NVD', 'T']
2026-03-23 22:41:15 [INFO    ] run_cycle:951 | [signal US] TZA none
2026-03-23 22:41:16 [INFO    ] run_cycle:951 | [signal US] SPDN none
2026-03-23 22:41:17 [INFO    ] run_cycle:951 | [signal US] NVD none
2026-03-23 22:41:18 [INFO    ] run_cycle:951 | [signal US] T none
2026-03-23 22:46:19 [INFO    ] run_cycle:951 | [signal US] TZA none
