date,open,high,low,close,volume
2025-12-29,3675.0,3720.0,3660.0,3710.0,472206
2025-12-30,3690.0,3885.0,3690.0,3820.0,2410124
2026-01-02,3840.0,3840.0,3710.0,3740.0,1416831
2026-01-05,3775.0,3865.0,3760.0,3820.0,1663666
2026-01-06,3810.0,3855.0,3760.0,3835.0,1386979
2026-01-07,3800.0,3875.0,3680.0,3730.0,1652691
2026-01-08,3700.0,3705.0,3610.0,3645.0,1385975
2026-01-09,3645.0,3770.0,3635.0,3770.0,1553772
2026-01-12,3765.0,3860.0,3755.0,3830.0,2547925
2026-01-13,3845.0,3845.0,3715.0,3800.0,1606434
2026-01-14,3795.0,3980.0,3765.0,3940.0,3704071
2026-01-15,3960.0,4025.0,3895.0,3970.0,2709767
2026-01-16,4015.0,4770.0,3955.0,4500.0,21682708
2026-01-19,4750.0,4770.0,4405.0,4510.0,11464354
2026-01-20,4455.0,5370.0,4320.0,5020.0,31512410
2026-01-21,4880.0,4970.0,4645.0,4765.0,8778597
2026-01-22,4945.0,4995.0,4745.0,4970.0,8629469
2026-01-23,5050.0,5760.0,5020.0,5170.0,17861252
2026-01-26,5100.0,5170.0,4765.0,4820.0,7125405
2026-01-27,5130.0,5130.0,4785.0,4805.0,6564699
2026-01-28,4855.0,5340.0,4845.0,5190.0,11136862
2026-01-29,5160.0,5210.0,5010.0,5150.0,4209289
2026-01-30,5100.0,5100.0,4860.0,4970.0,5537079
2026-02-02,4825.0,5080.0,4760.0,4855.0,5766672
2026-02-03,5000.0,5170.0,4805.0,5120.0,4573775
2026-02-04,5310.0,5720.0,5240.0,5590.0,15411599
2026-02-05,5500.0,5650.0,5300.0,5430.0,5068842
2026-02-06,5300.0,5650.0,5110.0,5520.0,6166128
2026-02-09,5530.0,5890.0,5460.0,5770.0,9556343
2026-02-10,6330.0,7430.0,6210.0,7060.0,51272010
2026-02-11,7480.0,7620.0,7140.0,7480.0,22634399
2026-02-12,7470.0,8040.0,7170.0,7700.0,33121669
2026-02-13,7540.0,7950.0,7070.0,7300.0,19731604
2026-02-19,7350.0,7930.0,7260.0,7930.0,21729464
2026-02-20,7860.0,8260.0,7570.0,7800.0,19986146
2026-02-23,7900.0,8160.0,7380.0,7500.0,15785513
2026-02-24,7480.0,8450.0,7450.0,8110.0,27374977
2026-02-25,8270.0,9120.0,8200.0,8750.0,41984242
2026-02-26,8980.0,10850.0,8750.0,10050.0,77399247
2026-02-27,10050.0,10350.0,9670.0,10140.0,17508679
2026-03-03,9940.0,10000.0,8900.0,8900.0,18441571
2026-03-04,8200.0,8610.0,7300.0,7550.0,19864708
2026-03-05,8600.0,9180.0,8200.0,8540.0,16756234
2026-03-06,8540.0,8970.0,8160.0,8770.0,11357317
2026-03-09,8180.0,9100.0,7950.0,8810.0,10560645
2026-03-10,9380.0,9790.0,8990.0,9470.0,16484612
2026-03-11,9790.0,10440.0,9570.0,9950.0,18985706
2026-03-12,9950.0,10910.0,9750.0,10460.0,23886371
2026-03-13,10310.0,13550.0,10140.0,12320.0,85920735
2026-03-16,12700.0,12780.0,11910.0,11980.0,25547663
2026-03-17,12230.0,12910.0,12030.0,12110.0,15508959
2026-03-18,12320.0,15350.0,12310.0,14870.0,112090190
2026-03-19,14560.0,17250.0,14440.0,16170.0,77367679
2026-03-20,16860.0,19430.0,16840.0,19110.0,96685709
2026-03-23,19730.0,19750.0,16900.0,17060.0,37468622
2026-03-24,18190.0,19370.0,15430.0,16400.0,60843341
2026-03-25,16980.0,17500.0,15910.0,16410.0,37021924
2026-03-26,16400.0,16740.0,15560.0,15900.0,18558692
2026-03-27,15490.0,17590.0,15480.0,15900.0,54365132
