date,open,high,low,close,volume
2025-12-29,15415.0,15620.0,15360.0,15580.0,8066700
2025-12-30,15470.0,15545.0,15345.0,15430.0,5533479
2026-01-02,15475.0,15840.0,15475.0,15820.0,8301551
2026-01-05,15895.0,16050.0,15790.0,15995.0,12776010
2026-01-06,16055.0,16130.0,15945.0,16060.0,10490220
2026-01-07,16040.0,16080.0,15750.0,15910.0,9468456
2026-01-08,15910.0,16005.0,15845.0,15895.0,11939570
2026-01-09,15930.0,15940.0,15670.0,15915.0,8973680
2026-01-12,15915.0,16100.0,15700.0,15855.0,9081469
2026-01-13,15925.0,15955.0,15745.0,15870.0,7861385
2026-01-14,15890.0,15895.0,15605.0,15700.0,11149850
2026-01-15,15685.0,15840.0,15605.0,15840.0,8106404
2026-01-16,15810.0,15995.0,15630.0,15970.0,13481140
2026-01-19,15870.0,16140.0,15830.0,16130.0,9948996
2026-01-20,16195.0,16495.0,15950.0,16220.0,15445260
2026-01-21,15885.0,15975.0,15185.0,15440.0,25249360
2026-01-22,15650.0,15915.0,15550.0,15880.0,26876840
2026-01-23,16015.0,16570.0,15965.0,16570.0,27706460
2026-01-26,16940.0,18435.0,16620.0,18435.0,126609900
2026-01-27,18225.0,19115.0,18170.0,18905.0,104409400
2026-01-28,19155.0,20350.0,19105.0,20320.0,119888000
2026-01-29,20890.0,21250.0,19665.0,20915.0,158768700
2026-01-30,20840.0,21390.0,20500.0,20500.0,130310200
2026-02-02,20045.0,20515.0,19165.0,19295.0,112395200
2026-02-03,20150.0,20150.0,19675.0,20145.0,70128960
2026-02-04,19995.0,20450.0,19815.0,20040.0,68862030
2026-02-05,19700.0,19990.0,19080.0,19175.0,43864490
2026-02-06,18510.0,18875.0,18100.0,18530.0,53512850
2026-02-09,19175.0,19715.0,19015.0,19585.0,45313030
2026-02-10,19600.0,19865.0,19110.0,19110.0,35369390
2026-02-11,19260.0,19430.0,19060.0,19085.0,31129400
2026-02-12,19170.0,19415.0,18950.0,19345.0,25054060
2026-02-13,19095.0,19240.0,18865.0,18955.0,33590540
2026-02-19,19350.0,20465.0,19120.0,20345.0,64632190
2026-02-20,20400.0,20445.0,20010.0,20225.0,39899620
2026-02-23,20510.0,20620.0,19815.0,19965.0,49106760
2026-02-24,20140.0,20270.0,19875.0,20145.0,27957040
2026-02-25,20330.0,20340.0,20000.0,20160.0,35477940
2026-02-26,20350.0,21040.0,20085.0,21015.0,60737980
2026-02-27,20600.0,21330.0,20545.0,21100.0,52766870
2026-03-03,20740.0,21725.0,20000.0,20000.0,94352860
2026-03-04,19490.0,19775.0,17055.0,17060.0,126065300
2026-03-05,18540.0,20840.0,18455.0,19575.0,132506900
2026-03-06,19710.0,20690.0,19345.0,20530.0,63808230
2026-03-09,19400.0,19945.0,19075.0,19810.0,68786250
2026-03-10,20870.0,20890.0,19890.0,20080.0,58479590
2026-03-11,20400.0,20515.0,19475.0,19680.0,45619160
2026-03-12,19515.0,19925.0,19405.0,19775.0,27674760
2026-03-13,19300.0,20060.0,19270.0,19925.0,26320430
2026-03-16,19920.0,20065.0,19350.0,19640.0,26176980
2026-03-17,19975.0,20165.0,19640.0,19650.0,22044620
2026-03-18,20000.0,20265.0,19915.0,20205.0,26315540
2026-03-19,19700.0,20015.0,19675.0,19785.0,23756970
2026-03-20,20005.0,20255.0,19820.0,20090.0,23997300
2026-03-23,19480.0,19535.0,18885.0,19010.0,39308060
2026-03-24,19665.0,19690.0,19010.0,19410.0,29561910
2026-03-25,19790.0,20190.0,19720.0,20100.0,25719440
2026-03-26,20310.0,20460.0,19660.0,19750.0,34551650
2026-03-27,19350.0,19895.0,19050.0,19830.0,24277300
