date,open,high,low,close,volume
2025-12-29,570.0,579.0,556.0,560.0,164195
2025-12-30,551.0,559.0,543.0,543.0,177473
2026-01-02,552.0,594.0,545.0,578.0,318300
2026-01-05,578.0,622.0,578.0,604.0,368649
2026-01-06,604.0,606.0,585.0,592.0,141276
2026-01-07,589.0,610.0,572.0,581.0,148357
2026-01-08,575.0,606.0,570.0,597.0,186249
2026-01-09,593.0,595.0,577.0,587.0,149511
2026-01-12,582.0,587.0,563.0,580.0,112646
2026-01-13,580.0,660.0,577.0,617.0,891927
2026-01-14,617.0,620.0,602.0,610.0,92373
2026-01-15,605.0,629.0,605.0,623.0,172731
2026-01-16,623.0,631.0,598.0,601.0,216675
2026-01-19,601.0,607.0,567.0,594.0,243313
2026-01-20,595.0,595.0,543.0,589.0,205924
2026-01-21,578.0,594.0,565.0,578.0,112545
2026-01-22,565.0,580.0,555.0,568.0,241453
2026-01-23,571.0,579.0,562.0,573.0,118341
2026-01-26,573.0,580.0,564.0,574.0,125639
2026-01-27,570.0,578.0,555.0,561.0,130896
2026-01-28,572.0,587.0,570.0,580.0,195306
2026-01-29,580.0,588.0,560.0,564.0,251759
2026-01-30,564.0,574.0,543.0,543.0,214134
2026-02-02,550.0,564.0,530.0,530.0,165608
2026-02-03,533.0,550.0,530.0,548.0,100476
2026-02-04,551.0,551.0,526.0,530.0,242586
2026-02-05,530.0,543.0,513.0,518.0,183138
2026-02-06,518.0,522.0,479.0,511.0,218300
2026-02-09,511.0,530.0,510.0,520.0,87981
2026-02-10,525.0,535.0,515.0,525.0,101921
2026-02-11,530.0,537.0,512.0,526.0,73630
2026-02-12,531.0,536.0,505.0,507.0,122800
2026-02-13,501.0,530.0,376.0,424.0,2269591
2026-02-19,424.0,462.0,372.0,399.0,1285974
2026-02-20,399.0,490.0,369.0,382.0,1410633
2026-02-23,382.0,408.0,382.0,397.0,431063
2026-02-24,396.0,416.0,389.0,407.0,330848
2026-02-25,407.0,410.0,392.0,405.0,307327
2026-02-26,404.0,405.0,380.0,380.0,339923
2026-02-27,380.0,380.0,364.0,364.0,293489
2026-03-03,360.0,364.0,306.0,307.0,819446
2026-03-04,307.0,307.0,252.0,260.0,646919
2026-03-05,260.0,337.0,260.0,305.0,722663
2026-03-06,305.0,385.0,305.0,330.0,1472705
2026-03-09,330.0,332.0,270.0,296.0,477576
2026-03-10,301.0,330.0,296.0,321.0,350350
2026-03-11,322.0,417.0,313.0,417.0,4355155
2026-03-12,449.0,542.0,417.0,422.0,17672772
2026-03-13,402.0,422.0,366.0,383.0,3265280
2026-03-16,393.0,393.0,354.0,380.0,1514214
2026-03-17,394.0,411.0,359.0,359.0,900518
2026-03-18,364.0,465.0,364.0,413.0,9894803
2026-03-19,408.0,408.0,379.0,387.0,1355206
2026-03-20,388.0,489.0,388.0,410.0,3071913
2026-03-23,410.0,450.0,382.0,389.0,2309463
2026-03-24,427.0,505.0,427.0,505.0,2150223
2026-03-25,656.0,656.0,656.0,656.0,806858
2026-03-26,852.0,852.0,852.0,852.0,3970699
2026-03-27,876.0,1107.0,711.0,895.0,57567111
