date,open,high,low,close,volume,change
2024-11-11,309500.0,313500.0,301000.0,304000.0,286872,1000.0
2024-11-12,301500.0,310500.0,301000.0,305500.0,248157,1500.0
2024-11-13,300000.0,302500.0,287000.0,289000.0,316441,-16500.0
2024-11-14,288500.0,291500.0,278000.0,287500.0,432524,-1500.0
2024-11-15,280500.0,282000.0,267500.0,278000.0,438875,-9500.0
2024-11-18,275000.0,292500.0,275000.0,289500.0,236484,11500.0
2024-11-19,287000.0,290500.0,284000.0,288500.0,259699,-1000.0
2024-11-20,286000.0,294000.0,282500.0,291500.0,239227,3000.0
2024-11-21,290000.0,297000.0,288000.0,294500.0,215661,3000.0
2024-11-22,298500.0,303000.0,297000.0,298000.0,240849,3500.0
2024-11-25,301000.0,311500.0,299500.0,306500.0,388539,8500.0
2024-11-26,303500.0,311000.0,303000.0,307000.0,187822,500.0
2024-11-27,306500.0,310000.0,299500.0,301000.0,164520,-6000.0
2024-11-28,301000.0,308000.0,300000.0,305000.0,135494,4000.0
2024-11-29,302500.0,303500.0,283500.0,284000.0,348760,-21000.0
2024-12-02,287500.0,289000.0,279000.0,282500.0,207368,-1500.0
2024-12-03,286500.0,289000.0,279500.0,282500.0,251104,0.0
2024-12-04,271500.0,279500.0,268500.0,276000.0,410398,-6500.0
2024-12-05,276000.0,277500.0,263000.0,265000.0,356114,-11000.0
2024-12-06,264500.0,270000.0,259000.0,266500.0,293620,1500.0
2024-12-09,257000.0,259000.0,246000.0,246500.0,604144,-20000.0
2024-12-10,250500.0,270000.0,250500.0,268000.0,436988,21500.0
2024-12-11,267500.0,269500.0,259500.0,262500.0,262560,-5500.0
2024-12-12,265000.0,270000.0,261000.0,267500.0,423597,5000.0
2024-12-13,262500.0,273500.0,259000.0,268500.0,245172,1000.0
2024-12-16,270000.0,273000.0,265500.0,268000.0,171458,-500.0
2024-12-17,264500.0,266000.0,254500.0,257000.0,335413,-11000.0
2024-12-18,257000.0,262500.0,255500.0,260000.0,325939,3000.0
2024-12-19,252500.0,260500.0,250500.0,258000.0,225833,-2000.0
2024-12-20,260000.0,261500.0,254000.0,257500.0,280470,-500.0
2024-12-23,256000.0,257500.0,248000.0,256000.0,226183,-1500.0
2024-12-24,256500.0,258500.0,252500.0,253000.0,115503,-3000.0
2024-12-26,254000.0,254500.0,246500.0,248000.0,194741,-5000.0
2024-12-27,244000.0,250000.0,242000.0,247000.0,229662,-1000.0
2024-12-30,245000.0,255000.0,244500.0,250000.0,198781,3000.0
2025-01-02,250000.0,252000.0,240000.0,242500.0,207721,-7500.0
2025-01-03,239500.0,259000.0,239000.0,253500.0,363270,11000.0
2025-01-06,254000.0,259500.0,251000.0,256500.0,186799,3000.0
2025-01-07,260500.0,264000.0,255000.0,255500.0,191554,-1000.0
2025-01-08,253000.0,260000.0,252000.0,256500.0,264700,1000.0
2025-01-09,256500.0,256500.0,247000.0,249000.0,333340,-7500.0
2025-01-10,249000.0,250500.0,245000.0,245000.0,203151,-4000.0
2025-01-13,242500.0,245000.0,239000.0,241000.0,209303,-4000.0
2025-01-14,243000.0,246000.0,238500.0,244500.0,272203,3500.0
2025-01-15,245000.0,247500.0,239500.0,240000.0,182124,-4500.0
2025-01-16,244000.0,248000.0,243000.0,244000.0,187927,4000.0
2025-01-17,242000.0,247000.0,240000.0,243500.0,183472,-500.0
2025-01-20,247000.0,253500.0,246500.0,252500.0,246145,9000.0
2025-01-21,250500.0,252500.0,238000.0,240500.0,260411,-12000.0
2025-01-22,242000.0,249000.0,241500.0,246000.0,203935,5500.0
2025-01-23,244500.0,244500.0,239500.0,240500.0,174612,-5500.0
2025-01-24,241000.0,242500.0,237000.0,239500.0,205167,-1000.0
2025-01-31,242000.0,242000.0,236000.0,237500.0,257381,-2000.0
2025-02-03,234500.0,234500.0,221500.0,222000.0,339676,-15500.0
2025-02-04,222500.0,223000.0,211500.0,213000.0,670959,-9000.0
2025-02-05,213500.0,224500.0,213500.0,221500.0,499007,8500.0
2025-02-06,219500.0,222000.0,217000.0,222000.0,224642,500.0
2025-02-07,220000.0,224500.0,216000.0,217000.0,322872,-5000.0
2025-02-10,214000.0,222000.0,208000.0,221000.0,437549,4000.0
2025-02-11,222000.0,226000.0,218000.0,221500.0,205949,500.0
2025-02-12,222500.0,225500.0,218500.0,220000.0,209801,-1500.0
2025-02-13,220500.0,231000.0,220500.0,229500.0,486366,9500.0
2025-02-14,231000.0,232000.0,226500.0,227500.0,201032,-2000.0
2025-02-17,227500.0,241500.0,227500.0,237500.0,342695,10000.0
2025-02-18,238000.0,240500.0,236500.0,239000.0,192906,1500.0
2025-02-19,238000.0,249500.0,238000.0,245500.0,342081,6500.0
2025-02-20,245000.0,250000.0,244000.0,246500.0,296350,1000.0
2025-02-21,246500.0,254000.0,244500.0,251000.0,289285,4500.0
2025-02-24,249000.0,258000.0,247500.0,255500.0,245505,4500.0
2025-02-25,253500.0,255000.0,248000.0,248500.0,196297,-7000.0
2025-02-26,245000.0,254000.0,245000.0,252000.0,190782,3500.0
2025-02-27,250500.0,252500.0,247500.0,251000.0,147558,-1000.0
2025-02-28,245500.0,246500.0,233000.0,234500.0,498771,-16500.0
2025-03-04,231000.0,232500.0,225500.0,227500.0,344750,-7000.0
2025-03-05,229500.0,235500.0,223500.0,230500.0,307884,3000.0
2025-03-06,233000.0,240000.0,231000.0,233000.0,201278,2500.0
2025-03-07,229500.0,255500.0,228000.0,250500.0,762489,17500.0
2025-03-10,254000.0,254500.0,240500.0,247000.0,306897,-3500.0
2025-03-11,237500.0,246000.0,236000.0,238000.0,247839,-9000.0
2025-03-12,240000.0,253500.0,238000.0,251000.0,309456,13000.0
2025-03-13,254000.0,254000.0,242500.0,242500.0,311370,-8500.0
2025-03-14,242500.0,245500.0,230000.0,231000.0,402574,-11500.0
2025-03-17,233500.0,240500.0,232500.0,235000.0,214597,4000.0
2025-03-18,237500.0,243000.0,231500.0,231500.0,222768,-3500.0
2025-03-19,237000.0,251500.0,236500.0,242000.0,611502,10500.0
2025-03-20,246000.0,262000.0,245000.0,257000.0,673739,15000.0
2025-03-21,259000.0,263500.0,246500.0,261500.0,625338,4500.0
2025-03-24,261500.0,267000.0,258000.0,264500.0,402599,3000.0
2025-03-25,265000.0,268500.0,258000.0,259500.0,255202,-5000.0
2025-03-26,262000.0,274500.0,261000.0,272000.0,412341,12500.0
2025-03-27,267000.0,276000.0,267000.0,269000.0,281035,-3000.0
2025-03-28,271500.0,272500.0,258000.0,259000.0,271423,-10000.0
2025-03-31,251500.0,253500.0,243500.0,245000.0,376594,-14000.0
2025-04-01,248500.0,251500.0,238500.0,244000.0,275259,-1000.0
2025-04-02,244500.0,246000.0,229500.0,232500.0,357276,-11500.0
2025-04-03,224000.0,227500.0,221000.0,223000.0,311765,-9500.0
2025-04-04,219000.0,231000.0,219000.0,229500.0,308054,6500.0
2025-04-07,215500.0,221000.0,212500.0,213500.0,457294,-16000.0
2025-04-08,218000.0,220000.0,210000.0,211500.0,323215,-2000.0
2025-04-09,209000.0,215500.0,202500.0,203500.0,431181,-8000.0
2025-04-10,217500.0,227000.0,210500.0,225500.0,507522,22000.0
2025-04-11,219500.0,222500.0,216000.0,221500.0,221809,-4000.0
2025-04-14,224000.0,233000.0,224000.0,224500.0,184201,3000.0
2025-04-15,223000.0,226000.0,219500.0,225000.0,160219,500.0
2025-04-16,226500.0,230000.0,219500.0,220000.0,182493,-5000.0
2025-04-17,218500.0,223000.0,216500.0,221000.0,173257,1000.0
2025-04-18,222000.0,222500.0,218000.0,220500.0,121724,-500.0
2025-04-21,219500.0,222000.0,215500.0,217500.0,139454,-3000.0
2025-04-22,216000.0,220500.0,214500.0,215500.0,156321,-2000.0
2025-04-23,220000.0,226000.0,217500.0,224000.0,293033,8500.0
2025-04-24,225000.0,225000.0,218000.0,223000.0,163801,-1000.0
2025-04-25,225000.0,229000.0,222500.0,224500.0,201389,1500.0
2025-04-28,226000.0,227000.0,221000.0,221000.0,246442,-3500.0
2025-04-29,223000.0,227000.0,221500.0,225500.0,181044,4500.0
2025-04-30,225000.0,225000.0,215000.0,216000.0,252764,-9500.0
2025-05-02,216000.0,217500.0,207000.0,210000.0,377264,-6000.0
2025-05-07,212500.0,213000.0,206500.0,208000.0,369484,-2000.0
2025-05-08,208000.0,211500.0,207500.0,209000.0,371941,1000.0
2025-05-09,210000.0,210000.0,205000.0,205500.0,253846,-3500.0
2025-05-12,207000.0,210500.0,206000.0,210500.0,139178,5000.0
2025-05-13,211000.0,211000.0,202000.0,203000.0,460327,-7500.0
2025-05-14,204000.0,205000.0,199900.0,203500.0,247404,500.0
