date,open,high,low,close,volume,change
2024-11-14,75000.0,75200.0,73600.0,73900.0,166865,-100.0
2024-11-15,74300.0,74300.0,71400.0,71400.0,219755,-2500.0
2024-11-18,71000.0,74400.0,71000.0,73400.0,151178,2000.0
2024-11-19,73100.0,75000.0,73100.0,74300.0,122451,900.0
2024-11-20,73900.0,76700.0,73800.0,76300.0,137278,2000.0
2024-11-21,76100.0,77200.0,75700.0,76200.0,130841,-100.0
2024-11-22,76500.0,78300.0,76200.0,76800.0,102714,600.0
2024-11-25,77600.0,78000.0,76300.0,76600.0,328950,-200.0
2024-11-26,75900.0,78400.0,75800.0,77900.0,135767,1300.0
2024-11-27,77600.0,78300.0,76600.0,76900.0,152336,-1000.0
2024-11-28,77500.0,78500.0,76600.0,78100.0,152858,1200.0
2024-11-29,78500.0,78500.0,74800.0,74900.0,214650,-3200.0
2024-12-02,76300.0,76400.0,74900.0,75300.0,135001,400.0
2024-12-03,76600.0,77400.0,75800.0,77100.0,170223,1800.0
2024-12-04,76600.0,76700.0,75000.0,76000.0,177142,-1100.0
2024-12-05,75300.0,75800.0,74500.0,74600.0,142139,-1400.0
2024-12-06,75200.0,76000.0,74600.0,75800.0,184966,1200.0
2024-12-09,75200.0,75200.0,73700.0,73800.0,234635,-2000.0
2024-12-10,74500.0,75000.0,74000.0,74600.0,176034,800.0
2024-12-11,74700.0,76200.0,74600.0,75900.0,127380,1300.0
2024-12-12,76300.0,76600.0,75500.0,76200.0,309993,300.0
2024-12-13,75800.0,77600.0,75800.0,77600.0,164235,1400.0
2024-12-16,77000.0,77900.0,76300.0,76600.0,144012,-1000.0
2024-12-17,76200.0,76200.0,74500.0,75000.0,228538,-1600.0
2024-12-18,75600.0,76900.0,75100.0,76600.0,171389,1600.0
2024-12-19,75200.0,75700.0,74800.0,75200.0,212217,-1400.0
2024-12-20,74700.0,75300.0,72700.0,73100.0,306747,-2100.0
2024-12-23,73800.0,75500.0,73100.0,75500.0,142881,2400.0
2024-12-24,75300.0,75700.0,74600.0,75300.0,58895,-200.0
2024-12-26,75300.0,75300.0,73800.0,74100.0,108640,-1200.0
2024-12-27,73200.0,74000.0,72700.0,73400.0,95957,-700.0
2024-12-30,74000.0,74000.0,72000.0,72000.0,179338,-1400.0
2025-01-02,72000.0,72700.0,71600.0,72200.0,87178,200.0
2025-01-03,71900.0,74800.0,71900.0,74100.0,121137,1900.0
2025-01-06,73400.0,75000.0,73400.0,74700.0,89412,600.0
2025-01-07,74700.0,75400.0,74100.0,74600.0,94648,-100.0
2025-01-08,74000.0,75200.0,73900.0,74900.0,91022,300.0
2025-01-09,74300.0,74800.0,73900.0,74000.0,145856,-900.0
2025-01-10,73800.0,74700.0,73700.0,73900.0,143916,-100.0
2025-01-13,74100.0,74500.0,73100.0,73900.0,148455,0.0
2025-01-14,74000.0,74000.0,72200.0,72700.0,143820,-1200.0
2025-01-15,73100.0,73900.0,72000.0,72200.0,161810,-500.0
2025-01-16,72700.0,73200.0,72100.0,73000.0,125941,800.0
2025-01-17,72900.0,73900.0,72700.0,73100.0,149034,100.0
2025-01-20,73300.0,74500.0,72900.0,74100.0,106697,1000.0
2025-01-21,74500.0,74700.0,72100.0,72800.0,138856,-1300.0
2025-01-22,73400.0,74200.0,72500.0,74000.0,116462,1200.0
2025-01-23,74600.0,74600.0,72900.0,73300.0,96305,-700.0
2025-01-24,73700.0,73900.0,72900.0,73600.0,63437,300.0
2025-01-31,74300.0,74900.0,73300.0,74900.0,344911,1300.0
2025-02-03,73200.0,73200.0,70700.0,71800.0,338798,-3100.0
2025-02-04,72300.0,73100.0,71600.0,72000.0,322998,200.0
2025-02-05,72400.0,72600.0,71600.0,72100.0,170365,100.0
2025-02-06,72500.0,73800.0,71900.0,73800.0,107968,1700.0
2025-02-07,73100.0,73800.0,72300.0,72800.0,146754,-1000.0
2025-02-10,72700.0,72700.0,69700.0,69700.0,339496,-3100.0
2025-02-11,70000.0,70300.0,68000.0,68500.0,254153,-1200.0
2025-02-12,68900.0,69100.0,68600.0,68900.0,110666,400.0
2025-02-13,69300.0,70800.0,68400.0,70800.0,232696,1900.0
2025-02-14,70400.0,70500.0,69600.0,69900.0,165471,-900.0
2025-02-17,69900.0,70100.0,69100.0,69700.0,183587,-200.0
2025-02-18,69400.0,69600.0,68500.0,68900.0,241125,-800.0
2025-02-19,69000.0,70600.0,69000.0,70100.0,237700,1200.0
2025-02-20,69800.0,70500.0,69800.0,70400.0,158777,300.0
2025-02-21,70600.0,71100.0,70300.0,70600.0,191183,200.0
2025-02-24,69900.0,70200.0,69600.0,70100.0,218753,-500.0
2025-02-25,69600.0,70300.0,69500.0,69900.0,209772,-200.0
2025-02-26,70100.0,70200.0,69600.0,70100.0,217650,200.0
2025-02-27,70300.0,70400.0,69500.0,70100.0,260310,0.0
2025-02-28,69400.0,69600.0,66500.0,66500.0,1226185,-3600.0
2025-03-04,66500.0,67200.0,66000.0,66000.0,288284,-500.0
2025-03-05,66500.0,67200.0,66200.0,66600.0,232281,600.0
2025-03-06,67000.0,67800.0,66700.0,67800.0,203860,1200.0
2025-03-07,67200.0,67700.0,67000.0,67000.0,173859,-800.0
2025-03-10,66700.0,68500.0,66600.0,68200.0,198356,1200.0
2025-03-11,66900.0,68800.0,66900.0,68300.0,337726,100.0
2025-03-12,67900.0,68300.0,67500.0,67800.0,243666,-500.0
2025-03-13,67600.0,68400.0,67400.0,68000.0,356793,200.0
2025-03-14,67600.0,67600.0,67000.0,67400.0,265688,-600.0
2025-03-17,67800.0,68800.0,67700.0,68600.0,260197,1200.0
2025-03-18,68300.0,68900.0,68300.0,68800.0,197001,200.0
2025-03-19,69000.0,71300.0,69000.0,70200.0,460270,1400.0
2025-03-20,70200.0,70500.0,69700.0,70000.0,274683,-200.0
2025-03-21,69900.0,70250.0,69500.0,69700.0,298366,-300.0
2025-03-24,69500.0,69900.0,69300.0,69700.0,155051,0.0
2025-03-25,67200.0,67800.0,66300.0,67500.0,322748,-2200.0
2025-03-26,67500.0,67700.0,67100.0,67200.0,205683,-300.0
2025-03-27,66700.0,67200.0,66500.0,66800.0,214535,-400.0
2025-03-28,67000.0,67050.0,65500.0,65700.0,284292,-1100.0
2025-03-31,65100.0,65400.0,64300.0,64600.0,410900,-1100.0
2025-04-01,64300.0,65600.0,64100.0,65000.0,176565,400.0
2025-04-02,65000.0,65500.0,62800.0,63000.0,431950,-2000.0
2025-04-03,61500.0,62400.0,60800.0,62300.0,249751,-700.0
2025-04-04,61800.0,62800.0,61200.0,62600.0,169340,300.0
2025-04-07,60300.0,61300.0,59300.0,60800.0,256374,-1800.0
2025-04-08,61100.0,61300.0,59300.0,59800.0,254963,-1000.0
2025-04-09,59000.0,59500.0,58300.0,58500.0,217545,-1300.0
2025-04-10,60500.0,61100.0,59800.0,60900.0,434751,2400.0
2025-04-11,60100.0,61900.0,59900.0,61500.0,252991,600.0
2025-04-14,61300.0,62400.0,61200.0,62400.0,88802,900.0
2025-04-15,62300.0,63300.0,62200.0,62700.0,108922,300.0
2025-04-16,63000.0,63200.0,62300.0,62700.0,111633,0.0
2025-04-17,63000.0,63100.0,62200.0,63000.0,73937,300.0
2025-04-18,62800.0,63300.0,62500.0,63200.0,65217,200.0
2025-04-21,63200.0,63600.0,62500.0,63200.0,40088,0.0
2025-04-22,63100.0,63800.0,62700.0,63500.0,108123,300.0
2025-04-23,64600.0,64900.0,63900.0,64800.0,219416,1300.0
2025-04-24,64500.0,65000.0,64300.0,65000.0,118743,200.0
2025-04-25,65200.0,65900.0,64900.0,65100.0,133229,100.0
2025-04-28,64700.0,65800.0,64700.0,65400.0,69411,300.0
2025-04-29,65500.0,66300.0,65400.0,65500.0,165346,100.0
2025-04-30,64900.0,66600.0,64800.0,66600.0,221444,1100.0
2025-05-02,66000.0,66900.0,65900.0,66700.0,146528,100.0
2025-05-07,67800.0,67900.0,65800.0,66300.0,171368,-400.0
2025-05-08,66100.0,67900.0,66000.0,66900.0,220964,600.0
2025-05-09,67300.0,68300.0,67000.0,67700.0,137689,800.0
2025-05-12,67900.0,69000.0,67900.0,68700.0,138244,1000.0
