date,open,high,low,close,volume,change
2024-10-02,168200.0,171100.0,168100.0,168200.0,940787,-1200.0
2024-10-04,169300.0,171900.0,168200.0,170700.0,1171102,2500.0
2024-10-07,171800.0,171900.0,165800.0,166100.0,1084682,-4600.0
2024-10-08,166500.0,167400.0,165100.0,166200.0,893907,100.0
2024-10-10,167900.0,174700.0,167800.0,172400.0,1408359,6200.0
2024-10-11,172900.0,173500.0,171200.0,173300.0,576782,900.0
2024-10-14,173300.0,174300.0,169900.0,171400.0,677634,-1900.0
2024-10-15,172400.0,175700.0,172400.0,175200.0,1056877,3800.0
2024-10-16,173900.0,177700.0,173300.0,177000.0,864891,1800.0
2024-10-17,177000.0,177700.0,175000.0,175000.0,571148,-2000.0
2024-10-18,176500.0,177600.0,175400.0,176800.0,570513,1800.0
2024-10-21,176800.0,179200.0,176200.0,176800.0,537952,0.0
2024-10-22,176900.0,177100.0,170800.0,171200.0,765563,-5600.0
2024-10-23,172000.0,174600.0,170800.0,172500.0,589358,1300.0
2024-10-24,172100.0,173400.0,170800.0,172100.0,384523,-400.0
2024-10-25,172100.0,172900.0,167100.0,167800.0,627017,-4300.0
2024-10-28,167800.0,170700.0,167800.0,170400.0,319943,2600.0
2024-10-29,170400.0,171800.0,166700.0,169200.0,352478,-1200.0
2024-10-30,170600.0,175300.0,170500.0,174400.0,716996,5200.0
2024-10-31,172100.0,174800.0,169700.0,170000.0,485411,-4400.0
2024-11-01,169000.0,170800.0,168500.0,169700.0,244187,-300.0
2024-11-04,170200.0,175900.0,170100.0,175700.0,697688,6000.0
2024-11-05,174000.0,177100.0,173700.0,176500.0,346402,800.0
2024-11-06,176700.0,177400.0,174100.0,176300.0,432475,-200.0
2024-11-07,175900.0,179700.0,174600.0,179700.0,675120,3400.0
2024-11-08,182600.0,182800.0,173700.0,174600.0,1233287,-5100.0
2024-11-11,174600.0,177000.0,171500.0,176000.0,654961,1400.0
2024-11-12,175700.0,182800.0,175700.0,181400.0,1708052,5400.0
2024-11-13,181400.0,184100.0,179700.0,182200.0,1224589,800.0
2024-11-14,183800.0,190500.0,183000.0,188500.0,2172828,6300.0
2024-11-15,190500.0,191900.0,188100.0,190000.0,1153043,1500.0
2024-11-18,191000.0,191800.0,189300.0,190800.0,760104,800.0
2024-11-19,190300.0,194200.0,190200.0,193000.0,964416,2200.0
2024-11-20,193500.0,194000.0,191300.0,193100.0,693589,100.0
2024-11-21,192600.0,192700.0,188900.0,189700.0,887174,-3400.0
2024-11-22,189600.0,190800.0,187400.0,190000.0,759493,300.0
2024-11-25,190100.0,193200.0,187400.0,193200.0,2335917,3200.0
2024-11-26,192200.0,196000.0,192200.0,195600.0,995917,2400.0
