date,open,high,low,close,volume
2025-12-29,2935.0,2945.0,2895.0,2900.0,11742350
2025-12-30,2920.0,2955.0,2912.0,2930.0,11009580
2026-01-02,2930.0,2930.0,2855.0,2860.0,10000170
2026-01-05,2845.0,2865.0,2820.0,2835.0,8922211
2026-01-06,2825.0,2840.0,2805.0,2820.0,15355610
2026-01-07,2830.0,2880.0,2820.0,2845.0,17364940
2026-01-08,2845.0,2865.0,2830.0,2855.0,13709770
2026-01-09,2850.0,2895.0,2845.0,2845.0,13559930
2026-01-12,2850.0,2890.0,2815.0,2860.0,21500410
2026-01-13,2845.0,2885.0,2845.0,2860.0,13751110
2026-01-14,2860.0,2910.0,2860.0,2885.0,17295390
2026-01-15,2900.0,2910.0,2865.0,2865.0,12790640
2026-01-16,2875.0,2905.0,2835.0,2840.0,15748670
2026-01-19,2855.0,2865.0,2805.0,2810.0,15963420
2026-01-20,2805.0,2845.0,2745.0,2800.0,37110440
2026-01-21,2845.0,2975.0,2840.0,2930.0,37221710
2026-01-22,2890.0,2910.0,2840.0,2845.0,19967140
2026-01-23,2825.0,2835.0,2720.0,2720.0,26751980
2026-01-26,2675.0,2675.0,2410.0,2410.0,110793700
2026-01-27,2435.0,2445.0,2320.0,2340.0,67905190
2026-01-28,2310.0,2315.0,2155.0,2165.0,86862330
2026-01-29,2120.0,2240.0,2065.0,2110.0,165735600
2026-01-30,2125.0,2160.0,2060.0,2160.0,127137600
2026-02-02,2210.0,2302.0,2155.0,2280.0,200194400
2026-02-03,2180.0,2240.0,2175.0,2175.0,65219290
2026-02-04,2200.0,2220.0,2145.0,2190.0,64910710
2026-02-05,2230.0,2300.0,2195.0,2285.0,70391600
2026-02-06,2375.0,2415.0,2320.0,2355.0,84339280
2026-02-09,2280.0,2305.0,2215.0,2235.0,58297800
2026-02-10,2230.0,2290.0,2200.0,2285.0,51317450
2026-02-11,2270.0,2290.0,2245.0,2280.0,34876910
2026-02-12,2275.0,2305.0,2245.0,2250.0,35153690
2026-02-13,2285.0,2310.0,2265.0,2295.0,38379340
2026-02-19,2245.0,2280.0,2115.0,2130.0,69625290
2026-02-20,2120.0,2165.0,2120.0,2140.0,32167340
2026-02-23,2110.0,2190.0,2100.0,2170.0,61022820
2026-02-24,2150.0,2185.0,2135.0,2150.0,38560520
2026-02-25,2130.0,2170.0,2130.0,2150.0,27916410
2026-02-26,2125.0,2157.0,2050.0,2055.0,55379480
2026-02-27,2095.0,2105.0,2025.0,2050.0,55449270
2026-03-03,2080.0,2155.0,1991.0,2150.0,130229300
2026-03-04,2210.0,2505.0,2175.0,2505.0,113346900
2026-03-05,2280.0,2285.0,1996.0,2120.0,174351700
2026-03-06,2095.0,2135.0,1995.0,1999.0,171613800
2026-03-09,2115.0,2135.0,2050.0,2065.0,133228700
2026-03-10,1938.0,2030.0,1936.0,2010.0,93937130
2026-03-11,1980.0,2080.0,1971.0,2050.0,95936930
2026-03-12,2065.0,2097.0,2040.0,2045.0,68067240
2026-03-13,2105.0,2110.0,2025.0,2035.0,63132860
2026-03-16,2030.0,2100.0,2020.0,2065.0,55361220
2026-03-17,2025.0,2070.0,2010.0,2070.0,41288600
2026-03-18,2035.0,2040.0,2000.0,2000.0,31707580
2026-03-19,2050.0,2057.0,2030.0,2050.0,40979070
2026-03-20,2025.0,2050.0,2000.0,2015.0,47366160
2026-03-23,2085.0,2145.0,2075.0,2135.0,48913300
2026-03-24,2045.0,2130.0,2045.0,2080.0,54329470
2026-03-25,2040.0,2055.0,2000.0,2005.0,45744230
2026-03-26,1997.0,2055.0,1976.0,2045.0,78221400
2026-03-27,2100.0,2120.0,2030.0,2035.0,74859980
