date,open,high,low,close,volume,change
2026-01-02,268000.0,268000.0,259000.0,262500.0,616243,
2026-01-05,260000.0,280000.0,259500.0,275000.0,805956,
2026-01-06,282000.0,282000.0,274000.0,277000.0,448991,
2026-01-07,279000.0,280000.0,268500.0,270500.0,603479,
2026-01-08,271500.0,274000.0,269000.0,271000.0,556265,
2026-01-09,272000.0,272000.0,265250.0,267500.0,433710,
2026-01-12,265500.0,280500.0,264000.0,278000.0,704473,
2026-01-13,281500.0,302500.0,276000.0,300000.0,1248744,
2026-01-14,298500.0,298500.0,284500.0,285500.0,663816,
2026-01-15,287000.0,292000.0,284250.0,291500.0,487778,
2026-01-16,291500.0,292000.0,286000.0,289000.0,447796,
2026-01-19,289000.0,320000.0,286000.0,314000.0,1430872,
2026-01-20,319000.0,339500.0,315500.0,326000.0,2148250,
2026-01-21,316000.0,326500.0,310000.0,324000.0,1109366,
2026-01-22,333000.0,385500.0,325500.0,384500.0,5826300,
2026-01-23,402000.0,402000.0,362500.0,373000.0,3366383,
2026-01-26,385500.0,389500.0,375500.0,387000.0,1609025,
2026-01-27,373500.0,398000.0,367500.0,387500.0,1845095,
2026-01-28,394000.0,411500.0,390000.0,396500.0,2071072,
2026-01-29,397500.0,399500.0,376500.0,388000.0,1317541,
2026-01-30,390500.0,400500.0,376000.0,390000.0,1730887,
2026-02-02,380000.0,386500.0,355500.0,356000.0,1586089,
2026-02-03,366500.0,381000.0,357500.0,374500.0,930111,
2026-02-04,374000.0,396000.0,372500.0,391500.0,1224216,
2026-02-05,388000.0,399500.0,380000.0,385500.0,1150046,
2026-02-06,370500.0,373000.0,358500.0,370000.0,727300,
2026-02-09,381500.0,383000.0,375000.0,380000.0,477549,
2026-02-10,385500.0,391500.0,377000.0,381000.0,504263,
2026-02-11,381500.0,384500.0,373500.0,377000.0,367852,
2026-02-12,381000.0,386000.0,373000.0,385500.0,639928,
2026-02-13,377500.0,383000.0,372500.0,374500.0,517002,
2026-02-19,379500.0,409000.0,377000.0,408000.0,1085467,
2026-02-20,402000.0,420500.0,399000.0,402000.0,928083,
2026-02-23,407500.0,407500.0,387000.0,391500.0,793713,
2026-02-24,400500.0,427000.0,399500.0,421500.0,2584055,
2026-02-25,422000.0,443500.0,415000.0,433000.0,1253279,
2026-02-26,439500.0,457000.0,436500.0,449000.0,1109842,
2026-02-27,439500.0,473500.0,438500.0,466000.0,1207350,
2026-03-03,453500.0,454500.0,408000.0,408000.0,1453235,
2026-03-04,390000.0,406000.0,348500.0,351000.0,1895549,
2026-03-05,391000.0,407000.0,385000.0,392500.0,1008865,
2026-03-06,388500.0,411500.0,385500.0,410500.0,796681,
2026-03-09,386500.0,394500.0,375500.0,389000.0,754807,
2026-03-10,415000.0,415000.0,394000.0,403500.0,597355,
2026-03-11,413500.0,419000.0,394500.0,400000.0,531148,
2026-03-12,396000.0,402000.0,394000.0,400000.0,616460,
2026-03-13,387000.0,397000.0,384500.0,388000.0,531172,
2026-03-16,395000.0,398000.0,380000.0,383000.0,483616,
2026-03-17,395000.0,397500.0,388000.0,389000.0,359325,
2026-03-18,397000.0,405000.0,393500.0,405000.0,384421,
2026-03-19,397000.0,414000.0,396000.0,402500.0,446249,
2026-03-20,405000.0,407000.0,398000.0,400500.0,397940,-2000
