date,open,high,low,close,volume
2025-12-29,2985.0,3420.0,2940.0,3100.0,4037866
2025-12-30,3095.0,3155.0,3055.0,3060.0,351351
2026-01-02,3060.0,3105.0,3050.0,3105.0,246988
2026-01-05,3120.0,3145.0,3070.0,3075.0,307140
2026-01-06,3100.0,3145.0,3025.0,3030.0,393935
2026-01-07,3020.0,3290.0,2990.0,3075.0,1170423
2026-01-08,3075.0,3100.0,3010.0,3010.0,309288
2026-01-09,3015.0,3115.0,3000.0,3100.0,329696
2026-01-12,3100.0,3205.0,3075.0,3110.0,439803
2026-01-13,3100.0,3180.0,3100.0,3165.0,574528
2026-01-14,3170.0,3290.0,3120.0,3220.0,1074575
2026-01-15,3230.0,3235.0,3150.0,3200.0,385180
2026-01-16,3225.0,3500.0,3190.0,3290.0,3082442
2026-01-19,3315.0,3355.0,3230.0,3345.0,1018321
2026-01-20,3345.0,3395.0,3195.0,3315.0,773178
2026-01-21,3245.0,3385.0,3200.0,3360.0,847839
2026-01-22,3420.0,3470.0,3295.0,3345.0,709842
2026-01-23,3370.0,3390.0,3270.0,3330.0,598846
2026-01-26,3330.0,3480.0,3280.0,3380.0,829070
2026-01-27,3375.0,3375.0,3240.0,3265.0,614578
2026-01-28,3275.0,3340.0,3240.0,3245.0,646380
2026-01-29,3250.0,3285.0,3150.0,3280.0,662816
2026-01-30,3285.0,3285.0,3160.0,3190.0,417552
2026-02-02,3165.0,3325.0,3095.0,3105.0,453606
2026-02-03,3125.0,3200.0,3105.0,3200.0,548360
2026-02-04,3195.0,3355.0,3170.0,3355.0,928379
2026-02-05,3305.0,3370.0,3255.0,3270.0,497054
2026-02-06,3220.0,3355.0,3105.0,3300.0,863541
2026-02-09,3330.0,3390.0,3270.0,3300.0,483046
2026-02-10,3300.0,3370.0,3300.0,3350.0,536830
2026-02-11,3350.0,3420.0,3300.0,3405.0,1040500
2026-02-12,3410.0,3520.0,3405.0,3440.0,1035289
2026-02-13,3435.0,3445.0,3380.0,3400.0,437778
2026-02-19,3410.0,3480.0,3360.0,3465.0,673774
2026-02-20,3465.0,3500.0,3420.0,3440.0,779854
2026-02-23,3510.0,3557.0,3380.0,3435.0,654240
2026-02-24,3435.0,3435.0,3355.0,3430.0,455658
2026-02-25,3440.0,3582.0,3440.0,3480.0,1282488
2026-02-26,3530.0,3540.0,3370.0,3420.0,596650
2026-02-27,3420.0,3420.0,3250.0,3380.0,626851
2026-03-03,3300.0,3305.0,3130.0,3130.0,670801
2026-03-04,2980.0,3050.0,2640.0,2660.0,1027426
2026-03-05,2795.0,2945.0,2790.0,2895.0,499961
2026-03-06,2885.0,3140.0,2850.0,2985.0,874717
2026-03-09,2810.0,2885.0,2730.0,2860.0,517136
2026-03-10,2940.0,2970.0,2890.0,2900.0,300600
2026-03-11,2915.0,3040.0,2915.0,2960.0,309249
2026-03-12,2960.0,2990.0,2880.0,2915.0,231515
2026-03-13,2870.0,2925.0,2820.0,2900.0,193586
2026-03-16,2955.0,2970.0,2880.0,2900.0,185517
2026-03-17,2985.0,3050.0,2910.0,2930.0,351180
2026-03-18,2975.0,3295.0,2895.0,3015.0,4871649
2026-03-19,2975.0,3070.0,2925.0,2955.0,938768
2026-03-20,2985.0,3075.0,2980.0,3010.0,580624
2026-03-23,3095.0,3910.0,3080.0,3910.0,30794833
2026-03-24,4120.0,4360.0,3555.0,3600.0,56264151
2026-03-25,3615.0,3880.0,3450.0,3495.0,18899138
2026-03-26,3600.0,4500.0,3590.0,4230.0,66194030
2026-03-27,4540.0,5180.0,4085.0,4085.0,69834976
