date,open,high,low,close,volume,change
2024-10-02,98200.0,100300.0,98100.0,98700.0,947817,-1200.0
2024-10-04,99400.0,100000.0,97800.0,98000.0,953289,-700.0
2024-10-07,99300.0,100900.0,98600.0,100400.0,747649,2400.0
2024-10-08,99700.0,100900.0,99500.0,99600.0,953986,-800.0
2024-10-10,101900.0,102900.0,100600.0,100800.0,1347031,1200.0
2024-10-11,101300.0,102200.0,100700.0,101100.0,586806,300.0
2024-10-14,101400.0,102500.0,100500.0,100600.0,512895,-500.0
2024-10-15,100800.0,100800.0,99200.0,99700.0,742330,-900.0
2024-10-16,98800.0,99400.0,97500.0,97800.0,1442581,-1900.0
2024-10-17,98100.0,98400.0,93700.0,95200.0,2337274,-2600.0
2024-10-18,94000.0,96700.0,94000.0,95100.0,954041,-100.0
2024-10-21,95300.0,96400.0,94400.0,95000.0,887808,-100.0
2024-10-22,93600.0,94100.0,91800.0,92500.0,2094323,-2500.0
2024-10-23,92000.0,93800.0,91100.0,93000.0,2096814,500.0
2024-10-24,90000.0,92200.0,90000.0,90900.0,2432361,-2100.0
2024-10-25,90100.0,93500.0,89900.0,92700.0,2070730,1800.0
2024-10-28,93700.0,96800.0,93500.0,95500.0,1990596,2800.0
2024-10-29,95000.0,95800.0,93000.0,93700.0,1032980,-1800.0
2024-10-30,93000.0,94400.0,92100.0,94100.0,1288804,400.0
2024-10-31,93500.0,94500.0,91900.0,91900.0,1497645,-2200.0
2024-11-01,91000.0,95200.0,90600.0,94300.0,1273159,2400.0
2024-11-04,95000.0,97500.0,94400.0,97400.0,1455797,3100.0
2024-11-05,96800.0,97200.0,96100.0,97000.0,853795,-400.0
2024-11-06,96400.0,96800.0,93800.0,95000.0,1201388,-2000.0
2024-11-07,94000.0,95100.0,92600.0,94000.0,1538830,-1000.0
2024-11-08,94200.0,95300.0,92500.0,93000.0,954617,-1000.0
2024-11-11,92100.0,95200.0,92100.0,94600.0,952667,1600.0
2024-11-12,94700.0,95100.0,91900.0,91900.0,1029314,-2700.0
2024-11-13,91500.0,91800.0,89600.0,90800.0,930142,-1100.0
2024-11-14,91600.0,93900.0,90400.0,92500.0,1308730,1700.0
2024-11-15,90500.0,92400.0,89500.0,91600.0,1000774,-900.0
2024-11-18,91100.0,96800.0,91100.0,96700.0,1258964,5100.0
2024-11-19,95800.0,97200.0,95000.0,95300.0,791662,-1400.0
2024-11-20,95300.0,99200.0,95000.0,98100.0,1315123,2800.0
2024-11-21,98100.0,98900.0,96800.0,97600.0,877875,-500.0
2024-11-22,98500.0,98800.0,97100.0,97800.0,625998,200.0
2024-11-25,97600.0,98300.0,96300.0,97200.0,1490846,-600.0
2024-11-26,96500.0,97500.0,95700.0,97300.0,824826,100.0
2024-11-27,95600.0,97200.0,94000.0,94300.0,1316143,-3000.0
2024-11-28,94400.0,95800.0,93900.0,95000.0,667018,700.0
2024-11-29,93200.0,94500.0,92100.0,92900.0,1137504,-2100.0
2024-12-02,93900.0,95800.0,93500.0,94200.0,856300,1300.0
2024-12-03,95900.0,98000.0,95000.0,98000.0,1269834,3800.0
2024-12-04,96700.0,99700.0,96300.0,98100.0,1718985,100.0
2024-12-05,97200.0,98400.0,93800.0,94000.0,1047065,-4100.0
2024-12-06,94100.0,96200.0,93200.0,94800.0,974415,800.0
2024-12-09,93200.0,94400.0,92000.0,92000.0,1163885,-2800.0
2024-12-10,93000.0,96000.0,93000.0,95800.0,1426079,3800.0
2024-12-11,96500.0,97500.0,95400.0,96500.0,891106,700.0
2024-12-12,96800.0,98900.0,96800.0,97200.0,1672208,700.0
2024-12-13,97500.0,98600.0,96100.0,98100.0,784619,900.0
2024-12-16,98100.0,98200.0,95300.0,95300.0,977937,-2800.0
2024-12-17,95400.0,97200.0,95400.0,95700.0,1015342,400.0
2024-12-18,96500.0,102400.0,96500.0,101800.0,2225773,6100.0
2024-12-19,100000.0,101800.0,98900.0,100600.0,1674120,-1200.0
2024-12-20,100100.0,101200.0,99000.0,101200.0,1253819,600.0
2024-12-23,101200.0,102700.0,99500.0,100900.0,778490,-300.0
2024-12-24,100600.0,101500.0,99500.0,100600.0,588138,-300.0
2024-12-26,100800.0,103000.0,99600.0,102900.0,912601,2300.0
2024-12-27,101100.0,101800.0,100000.0,100900.0,607220,-2000.0
2024-12-30,100500.0,103100.0,100400.0,100700.0,704616,-200.0
2025-01-02,101000.0,102300.0,100500.0,101600.0,712616,900.0
2025-01-03,101500.0,101800.0,99200.0,100700.0,1015616,-900.0
2025-01-06,100800.0,101300.0,99200.0,100500.0,784082,-200.0
2025-01-07,100500.0,101500.0,99100.0,99100.0,1128286,-1400.0
2025-01-08,99000.0,101400.0,98900.0,101000.0,1058728,1900.0
2025-01-09,101200.0,105700.0,101200.0,103300.0,2359171,2300.0
2025-01-10,104000.0,106600.0,103500.0,105600.0,1951844,2300.0
2025-01-13,104700.0,105400.0,103600.0,105400.0,1130422,-200.0
2025-01-14,104700.0,107900.0,104200.0,106700.0,1300498,1300.0
2025-01-15,106500.0,107200.0,102700.0,103300.0,1177799,-3400.0
2025-01-16,104500.0,104800.0,103000.0,103400.0,654359,100.0
2025-01-17,102400.0,103000.0,100400.0,101500.0,919480,-1900.0
2025-01-20,101500.0,102000.0,100800.0,101000.0,411505,-500.0
2025-01-21,102100.0,105300.0,100700.0,101000.0,1033495,0.0
2025-01-22,101900.0,103400.0,100700.0,103000.0,856499,2000.0
2025-01-23,102500.0,104000.0,101100.0,102700.0,730474,-300.0
2025-01-24,104400.0,104400.0,101000.0,101700.0,1296839,-1000.0
2025-01-31,100800.0,102800.0,100200.0,102000.0,909716,300.0
2025-02-03,100200.0,100700.0,95000.0,96100.0,2040413,-5900.0
2025-02-04,99100.0,99200.0,96300.0,96700.0,1255891,600.0
2025-02-05,97400.0,99300.0,97000.0,98100.0,923434,1400.0
2025-02-06,98300.0,98800.0,97200.0,98800.0,563800,700.0
2025-02-07,97600.0,98900.0,96300.0,96500.0,991140,-2300.0
2025-02-10,94000.0,95100.0,93000.0,94600.0,1722666,-1900.0
2025-02-11,93200.0,95100.0,93200.0,93800.0,1172529,-800.0
2025-02-12,93300.0,94100.0,91400.0,91700.0,1688145,-2100.0
2025-02-13,93800.0,95600.0,93300.0,94300.0,2326740,2600.0
2025-02-14,94400.0,95900.0,93700.0,95000.0,1349332,700.0
2025-02-17,94300.0,94900.0,93100.0,94300.0,1049521,-700.0
2025-02-18,94300.0,95300.0,93700.0,93900.0,883917,-400.0
2025-02-19,92800.0,95800.0,92800.0,95000.0,1053531,1100.0
2025-02-20,94100.0,94800.0,93500.0,94500.0,1078110,-500.0
2025-02-21,95800.0,96700.0,94300.0,94600.0,960186,100.0
2025-02-24,93700.0,94900.0,93600.0,94900.0,659841,300.0
2025-02-25,94000.0,94300.0,93200.0,93200.0,1001392,-1700.0
2025-02-26,93200.0,94200.0,93100.0,94100.0,789301,900.0
2025-02-27,93700.0,94700.0,93600.0,94600.0,841391,500.0
2025-02-28,93500.0,94400.0,93000.0,93200.0,1640049,-1400.0
2025-03-04,93100.0,96300.0,91900.0,93300.0,1312252,100.0
2025-03-05,94600.0,96600.0,94400.0,95900.0,1593290,2600.0
2025-03-06,99000.0,99300.0,97300.0,98000.0,1778981,2100.0
2025-03-07,96700.0,97800.0,96100.0,96800.0,1138412,-1200.0
2025-03-10,95900.0,98400.0,95900.0,98000.0,1190280,1200.0
2025-03-11,96100.0,98500.0,96100.0,98400.0,1137146,400.0
2025-03-12,98400.0,99400.0,97600.0,99100.0,1144714,700.0
2025-03-13,98600.0,101300.0,98300.0,100400.0,2279252,1300.0
2025-03-14,100000.0,100600.0,99400.0,99500.0,1408638,-900.0
2025-03-17,99700.0,100100.0,98200.0,98800.0,1892886,-700.0
2025-03-18,93300.0,96400.0,93300.0,96400.0,2228720,-2400.0
2025-03-19,96500.0,97200.0,95500.0,97100.0,1094424,700.0
2025-03-20,96700.0,97000.0,95500.0,96000.0,1056834,-1100.0
2025-03-21,95500.0,97400.0,95500.0,95700.0,2448199,-300.0
2025-03-24,95900.0,99500.0,95800.0,98700.0,1564435,3000.0
2025-03-25,102900.0,102900.0,100100.0,100800.0,1515074,2100.0
2025-03-26,102000.0,103000.0,101200.0,101400.0,1181983,600.0
2025-03-27,99000.0,100000.0,97400.0,97900.0,1400285,-3500.0
2025-03-28,95200.0,96500.0,94600.0,95300.0,1293885,-2600.0
2025-03-31,93300.0,94100.0,91500.0,92300.0,1230700,-3000.0
2025-04-01,92800.0,93700.0,92000.0,93200.0,656473,900.0
2025-04-02,92400.0,93600.0,91800.0,92100.0,931914,-1100.0
2025-04-03,89200.0,91400.0,88400.0,90800.0,1054819,-1300.0
2025-04-04,89500.0,91800.0,88700.0,89700.0,947048,-1100.0
2025-04-07,86100.0,87100.0,84100.0,84600.0,1066394,-5100.0
2025-04-08,85500.0,86600.0,84200.0,84300.0,952615,-300.0
2025-04-09,83900.0,84200.0,82800.0,83800.0,1002947,-500.0
2025-04-10,89700.0,89800.0,87000.0,88200.0,1374506,4400.0
2025-04-11,86100.0,86200.0,81300.0,82000.0,2232779,-6200.0
2025-04-14,82300.0,83800.0,81800.0,83000.0,797192,1000.0
2025-04-15,85700.0,86800.0,85000.0,85800.0,1128439,2800.0
2025-04-16,85400.0,86300.0,84600.0,84700.0,583287,-1100.0
2025-04-17,84900.0,85550.0,84500.0,85000.0,430473,300.0
2025-04-18,85300.0,87600.0,84600.0,87300.0,569432,2300.0
2025-04-21,87700.0,88500.0,87000.0,88000.0,416037,700.0
2025-04-22,87600.0,88000.0,86600.0,86800.0,558552,-1200.0
2025-04-23,88100.0,90700.0,87500.0,90000.0,1212681,3200.0
2025-04-24,90400.0,90800.0,88600.0,88800.0,908535,-1200.0
2025-04-25,89500.0,89700.0,87500.0,88200.0,1356631,-600.0
2025-04-28,88500.0,89200.0,87700.0,88700.0,572742,500.0
2025-04-29,90600.0,90900.0,89500.0,90600.0,808315,1900.0
2025-04-30,91000.0,91400.0,89600.0,90400.0,1023836,-200.0
2025-05-02,91000.0,91000.0,88600.0,89400.0,768903,-1000.0
2025-05-07,90200.0,90400.0,87500.0,88100.0,1093539,-1300.0
2025-05-08,88100.0,88700.0,87800.0,87800.0,1161546,-300.0
2025-05-09,89400.0,90700.0,89200.0,89300.0,967229,1500.0
2025-05-12,90200.0,92400.0,89800.0,92400.0,813230,3100.0
2025-05-13,94000.0,94800.0,92700.0,93700.0,1369914,1300.0
2025-05-14,93600.0,94000.0,91800.0,92400.0,878937,-1300.0
2025-05-15,91900.0,92500.0,90900.0,91200.0,761239,-1200.0
2025-05-16,91300.0,92300.0,91300.0,92000.0,500754,800.0
2025-05-19,91300.0,91900.0,90800.0,91500.0,555859,-500.0
2025-05-20,92300.0,92800.0,90900.0,91200.0,710012,-300.0
2025-05-21,92700.0,92700.0,90900.0,91200.0,748573,0.0
2025-05-22,90500.0,91100.0,88400.0,89200.0,1103198,-2000.0
2025-05-23,89200.0,89500.0,86900.0,87100.0,879529,-2100.0
2025-05-26,87000.0,88400.0,86200.0,88100.0,760388,1000.0
2025-05-27,87300.0,88500.0,87100.0,88200.0,607447,100.0
2025-05-28,88500.0,90000.0,88500.0,89000.0,842967,800.0
2025-05-29,90700.0,93700.0,90000.0,93200.0,1583303,4200.0
2025-05-30,91000.0,91200.0,89400.0,89400.0,1535385,-3800.0
2025-06-02,88400.0,89600.0,88100.0,88400.0,663587,-1000.0
2025-06-04,89200.0,90400.0,88600.0,89600.0,862750,1200.0
2025-06-05,89100.0,93500.0,89100.0,93100.0,1416289,3500.0
2025-06-09,94400.0,96200.0,93800.0,95300.0,1449046,2200.0
2025-06-10,96200.0,96400.0,94100.0,94500.0,1077370,-800.0
2025-06-11,95100.0,96900.0,95100.0,96900.0,992153,2400.0
2025-06-12,96900.0,99000.0,96800.0,98400.0,1768683,1500.0
2025-06-13,98000.0,98100.0,95600.0,97200.0,1506724,-1200.0
2025-06-16,96500.0,97900.0,95100.0,97500.0,809768,300.0
2025-06-17,98000.0,99800.0,97800.0,99600.0,1332802,2100.0
2025-06-18,98500.0,99400.0,97200.0,98900.0,1018716,-700.0
2025-06-19,99400.0,99800.0,97500.0,98200.0,691399,-700.0
2025-06-20,98000.0,98900.0,97200.0,98700.0,998377,500.0
2025-06-23,97000.0,97000.0,94400.0,95900.0,867116,-2800.0
2025-06-24,95700.0,98500.0,95700.0,96900.0,911752,1000.0
2025-06-25,97500.0,104500.0,97000.0,101100.0,2778238,4200.0
2025-06-26,100700.0,102500.0,98700.0,99100.0,1157512,-2000.0
2025-06-27,99700.0,99700.0,97400.0,97700.0,574885,-1400.0
2025-06-30,96900.0,98200.0,96600.0,96900.0,693015,-800.0
2025-07-01,97000.0,100500.0,97000.0,98700.0,1019849,1800.0
2025-07-02,100200.0,100700.0,98750.0,100000.0,1023366,1300.0
2025-07-03,100400.0,101500.0,99300.0,100100.0,774595,100.0
2025-07-04,100500.0,101500.0,99100.0,99100.0,470300,-1000.0
2025-07-07,98900.0,100000.0,98300.0,98600.0,430089,-500.0
2025-07-08,98600.0,99800.0,97500.0,99100.0,643120,500.0
2025-07-09,98300.0,99800.0,97400.0,99600.0,1037777,500.0
2025-07-10,99900.0,101200.0,99300.0,100100.0,1142761,500.0
2025-07-11,100100.0,102100.0,99800.0,100800.0,1087429,700.0
2025-07-14,100200.0,103300.0,99600.0,103000.0,1173952,2200.0
2025-07-15,102100.0,102300.0,99800.0,100000.0,1241921,-3000.0
2025-07-16,99700.0,100500.0,99100.0,99500.0,668896,-500.0
2025-07-17,100000.0,100700.0,98500.0,100200.0,687922,700.0
2025-07-18,100500.0,101400.0,99400.0,99800.0,586973,-400.0
2025-07-21,99700.0,100200.0,99100.0,99300.0,422784,-500.0
2025-07-22,99200.0,99700.0,97600.0,97800.0,646392,-1500.0
2025-07-23,100800.0,106100.0,100500.0,106100.0,3318750,8300.0
2025-07-24,107200.0,109000.0,104000.0,105000.0,2027261,-1100.0
2025-07-25,105000.0,107000.0,102400.0,104100.0,1395349,-900.0
2025-07-28,106300.0,107500.0,104500.0,105500.0,1045072,1400.0
2025-07-29,104300.0,106400.0,103500.0,105700.0,1196086,200.0
2025-07-30,105000.0,112400.0,105000.0,110400.0,1917384,4700.0
2025-07-31,112700.0,113200.0,102300.0,102300.0,3132736,-8100.0
2025-08-01,101300.0,104100.0,100800.0,100800.0,1374554,-1500.0
2025-08-04,100700.0,103700.0,100500.0,102800.0,775610,2000.0
2025-08-05,103000.0,104200.0,101300.0,101400.0,891875,-1400.0
2025-08-06,101300.0,102700.0,101200.0,101800.0,780400,400.0
2025-08-07,103000.0,103300.0,101500.0,101800.0,649320,0.0
2025-08-08,102300.0,102400.0,101400.0,101900.0,664464,100.0
2025-08-11,101600.0,102750.0,101300.0,101600.0,536398,-300.0
2025-08-12,101100.0,103700.0,101000.0,101800.0,655429,200.0
2025-08-13,102800.0,103300.0,102100.0,103200.0,534661,1400.0
2025-08-14,103600.0,104700.0,103100.0,103700.0,574716,500.0
2025-08-18,102100.0,103400.0,102100.0,102200.0,539476,-1500.0
2025-08-19,102500.0,104000.0,101900.0,104000.0,627551,1800.0
2025-08-20,104200.0,105500.0,103300.0,105100.0,713124,1100.0
2025-08-21,105700.0,105800.0,103900.0,103900.0,433907,-1200.0
2025-08-22,104200.0,105500.0,104200.0,104800.0,553097,900.0
2025-08-25,105000.0,105300.0,103200.0,104700.0,440278,-100.0
2025-08-26,104300.0,104600.0,103000.0,103000.0,606440,-1700.0
2025-08-27,103100.0,104000.0,102900.0,103500.0,383772,500.0
2025-08-28,104500.0,107200.0,103300.0,105700.0,974330,2200.0
2025-08-29,105900.0,107800.0,105500.0,105800.0,704357,100.0
2025-09-01,106800.0,107900.0,106000.0,106500.0,496884,700.0
2025-09-02,106200.0,107200.0,105750.0,107200.0,400273,700.0
2025-09-03,106100.0,107800.0,106100.0,107000.0,544535,-200.0
2025-09-04,106000.0,107200.0,105800.0,107000.0,563510,0.0
2025-09-05,106200.0,107000.0,106100.0,106600.0,442357,-400.0
2025-09-08,106100.0,106100.0,104100.0,104900.0,713309,-1700.0
2025-09-09,105500.0,105900.0,104700.0,105500.0,599237,600.0
2025-09-10,104900.0,107000.0,104900.0,106000.0,704159,500.0
2025-09-11,105900.0,106800.0,105400.0,106600.0,1118881,600.0
2025-09-12,106100.0,106600.0,105400.0,105900.0,906762,-700.0
2025-09-15,104800.0,105100.0,101300.0,101700.0,2334779,-4200.0
2025-09-16,101700.0,101900.0,100500.0,101400.0,1317017,-300.0
2025-09-17,101200.0,101500.0,100500.0,101000.0,1005177,-400.0
2025-09-18,101500.0,102200.0,101100.0,102100.0,1143276,1100.0
2025-09-19,102300.0,102500.0,100500.0,101600.0,1545375,-500.0
2025-09-22,101500.0,102500.0,101200.0,101900.0,737975,300.0
2025-09-23,101300.0,102900.0,101300.0,102800.0,597793,900.0
2025-09-24,102900.0,103600.0,102500.0,103000.0,680285,200.0
2025-09-25,103000.0,103000.0,101400.0,102000.0,775758,-1000.0
2025-09-26,101200.0,101300.0,100200.0,100200.0,700206,-1800.0
2025-09-29,100600.0,101200.0,100000.0,100700.0,639908,500.0
2025-09-30,100200.0,101800.0,100200.0,100700.0,885167,0.0
