market,fold,arm,session_date,ticker_key,path_id,path_name,entry_ts,entry_price,candidate_price,entry_vs_candidate_pct,market_open_elapsed_min,liquidity_bucket,market_type,data_quality,volume_ratio,prediction,tier_success,raw_60m_net_pct,tier_cf_net_pct,max_runup_60m_pct,max_drawdown_60m_pct
US,1,top1_per_day_upper_bound,2026-06-16,BE,130560,vwap_reclaim,2026-06-16 13:57:56+00:00,293.659912109375,292.68,0.3348066521029702,27.933358433333336,high,,minute_complete,1.0,0.9303599320844189,False,-2.086839713974781,-3.0,1.1135604253631641,-3.1532796377878523
US,1,top1_per_day_upper_bound,2026-06-17,ASTS,139721,pullback_reclaim,2026-06-17 13:45:56+00:00,86.66999816894531,86.9706,-0.3456361472206626,15.9407472,high,,minute_complete,1.0,0.974738089339865,False,-2.434804634855075,-3.0,0.7557387713567154,-2.9306576314633523
US,1,top1_per_day_upper_bound,2026-06-18,BHVN,150874,immediate,2026-06-18 13:46:48+00:00,13.710000038146973,13.62,0.6607932316224252,16.80111945,mid,,minute_complete,1.0,0.9802067761731293,False,-1.1695823177791673,-3.0,-0.29175756193822516,-4.303429255625548
US,1,top1_per_day_upper_bound,2026-06-22,AAOI,172797,vwap_reclaim,2026-06-22 18:28:55+00:00,176.64999389648438,175.82,0.47207024029369826,298.9243628166667,high,,minute_complete,1.0,0.948001429823509,False,-4.61830973554829,-3.0,0.09624309856132894,-4.537108011499417
US,1,top1_per_day_upper_bound,2026-06-23,IREN,179780,vwap_reclaim,2026-06-23 13:46:46+00:00,55.51810073852539,55.5,0.03261394328899492,16.778917483333334,mid,,minute_complete,1.0,0.9912232391106945,True,-0.0642906011012842,1.1999999999999997,3.6418756227352467,-0.7350758090516546
US,1,top1_per_day_upper_bound,2026-06-24,AXON,189798,pullback_reclaim,2026-06-24 14:07:14+00:00,456.4800109863281,456.98,-0.10941157461418216,37.23490221666667,mid,,minute_complete,1.0,0.8429932701397188,False,0.9546056718917855,0.9546056718917855,1.8642610942939526,-1.3768409373565353
US,2,top1_per_day_upper_bound,2026-06-25,BB,199451,volume_surge,2026-06-25 15:30:15+00:00,10.271400451660156,10.2965,-0.24376776904622144,120.25531338333332,mid,,minute_complete,1.0,0.9654805596624529,True,0.50862145164537,1.1999999999999997,2.3959680396466445,-0.403069762674247
US,2,top1_per_day_upper_bound,2026-06-26,BB,207398,volume_surge,2026-06-26 14:32:06+00:00,11.25,11.245,0.04446420631392112,62.10153041666667,mid,,minute_complete,1.0,0.9824743070911411,False,-0.9000006781684028,-0.9000006781684028,0.17778184678819445,-2.4444410536024304
US,2,top1_per_day_upper_bound,2026-06-29,BE,220320,volume_surge,2026-06-29 13:46:39+00:00,278.2900085449219,278.26,0.010784354532411555,16.6543301,mid,,minute_complete,1.0,0.9586581718181189,False,-5.164203021228079,-3.0,0.25512646278262535,-5.523814160905896
US,2,top1_per_day_upper_bound,2026-06-30,CRCL,233237,volume_surge,2026-06-30 17:09:45+00:00,64.47010040283203,64.355,0.1788523080289428,219.76178038333333,high,,minute_complete,1.0,0.9150257479623235,False,-1.8961521734628368,-1.8961521734628368,0.3873151306622013,-1.6520861870541907
US,2,top1_per_day_upper_bound,2026-07-01,CRCL,239797,volume_surge,2026-07-01 14:24:48+00:00,65.73909759521484,65.73,0.013840856861158102,54.809322550000005,high,,minute_complete,1.0,0.939461629944738,False,-0.8331261739755622,-3.0,0.15348361381085596,-3.2995553327286835
US,2,top1_per_day_upper_bound,2026-07-02,ALAB,248611,volume_surge,2026-07-02 14:10:38+00:00,455.40521240234375,455.58,-0.038365950580854236,40.641041783333336,high,,minute_complete,1.0,0.9809778261665807,False,-8.861894930936845,-3.0,0.6905243401369643,-9.814385020208785
US,3,top1_per_day_upper_bound,2026-07-06,ALAB,261053,vwap_reclaim,2026-07-06 13:46:00+00:00,443.19500732421875,443.274,-0.017820281762803702,16.001492516666666,high,,minute_complete,1.0,0.9855755642228639,True,0.8120365245540506,1.1999999999999997,2.3928268010152993,0.1594960797002523
US,3,top1_per_day_upper_bound,2026-07-07,SOLS,273682,immediate,2026-07-07 16:08:33+00:00,61.29999923706055,61.39,-0.14660492415613513,158.56226393333333,mid,,minute_complete,1.0,0.9747135860830561,False,-0.20636165184981392,-0.20636165184981392,1.5334460898948046,-0.1957568244343747
US,3,top1_per_day_upper_bound,2026-07-08,WULF,281453,pullback_reclaim,2026-07-08 13:58:23+00:00,22.479999542236328,22.48,-2.0363152719582445e-06,28.39371275,high,,minute_complete,1.0,0.9438349232717116,False,-0.700178279405199,-0.700178279405199,1.8234015730875137,-1.6014177505944769
US,3,top1_per_day_upper_bound,2026-07-09,BBIO,302507,pullback_reclaim,2026-07-09 15:17:16+00:00,89.88999938964844,90.06,-0.18876372457424795,107.27738735,high,,minute_complete,1.0,0.9162754940908531,False,-0.2663821494064451,-0.2663821494064451,0.8454801884423966,-1.2014705066057199
US,3,top1_per_day_upper_bound,2026-07-10,CRCL,316671,volume_surge,2026-07-10 13:56:15+00:00,67.18000030517578,66.94,0.35853048278426947,26.259651716666667,high,,minute_complete,1.0,0.9320645241718467,False,-0.5,-0.5,1.5925878354199465,-1.741587025350418
US,3,top1_per_day_upper_bound,2026-07-13,FIG,339527,volume_surge,2026-07-13 15:02:49+00:00,22.709999084472656,22.57,0.620288367180577,92.81961505,mid,,minute_complete,1.0,0.9366706417043906,True,2.80251004066659,1.1999999999999997,3.478647940886468,-0.3962934780600307
US,4,top1_per_day_upper_bound,2026-07-14,AXTI,354509,volume_surge,2026-07-14 14:00:42+00:00,57.599998474121094,57.77,-0.29427302385132137,30.704476516666663,mid,,minute_complete,1.0,0.9735793898601017,False,-3.3819442558803625,-3.0,0.2430611250946555,-4.582464816370668
US,1,top3_per_day_upper_bound,2026-06-16,BE,130560,vwap_reclaim,2026-06-16 13:57:56+00:00,293.659912109375,292.68,0.3348066521029702,27.933358433333336,high,,minute_complete,1.0,0.9303599320844189,False,-2.086839713974781,-3.0,1.1135604253631641,-3.1532796377878523
US,1,top3_per_day_upper_bound,2026-06-16,WDC,129922,vwap_reclaim,2026-06-16 13:45:43+00:00,713.5399780273438,714.95,-0.19721966188632756,15.7215443,high,,minute_complete,1.0,0.9156206066988664,False,-3.4626866418508,-3.0,2.2955973578518676,-3.297638392563486
US,1,top3_per_day_upper_bound,2026-06-16,CRWV,129867,vwap_reclaim,2026-06-16 13:45:43+00:00,115.29499816894531,115.035,0.22601657664651498,15.72010575,high,,minute_complete,1.0,0.9108004728508472,True,1.2303463101310712,1.1999999999999997,2.44156510352803,-1.6956519034676276
US,1,top3_per_day_upper_bound,2026-06-17,ASTS,139721,pullback_reclaim,2026-06-17 13:45:56+00:00,86.66999816894531,86.9706,-0.3456361472206626,15.9407472,high,,minute_complete,1.0,0.974738089339865,False,-2.434804634855075,-3.0,0.7557387713567154,-2.9306576314633523
US,1,top3_per_day_upper_bound,2026-06-17,NBIS,139752,vwap_reclaim,2026-06-17 13:45:56+00:00,278.8800048828125,279.2499,-0.13246025054530763,15.9416809,high,,minute_complete,1.0,0.9514751849879105,False,1.391568928273625,-3.0,1.82874570217348,-4.08889360649746
US,1,top3_per_day_upper_bound,2026-06-17,AMAT,139730,vwap_reclaim,2026-06-17 13:45:56+00:00,620.6199951171875,619.405,0.19615520010132226,15.941105783333336,high,,minute_complete,1.0,0.9477036296344896,False,-0.733639299158812,-0.733639299158812,0.4028229866374095,-1.7079655295243876
US,1,top3_per_day_upper_bound,2026-06-18,BHVN,150874,immediate,2026-06-18 13:46:48+00:00,13.710000038146973,13.62,0.6607932316224252,16.80111945,mid,,minute_complete,1.0,0.9802067761731293,False,-1.1695823177791673,-3.0,-0.29175756193822516,-4.303429255625548
US,1,top3_per_day_upper_bound,2026-06-18,ACN,151459,vwap_reclaim,2026-06-18 14:31:13+00:00,134.3300018310547,134.135,0.1453772923209362,61.22824358333333,high,,minute_complete,1.0,0.9753620163830817,False,-3.24860392816408,-3.0,-0.2679971751986806,-3.297854443672146
US,1,top3_per_day_upper_bound,2026-06-18,WDC,150449,pullback_reclaim,2026-06-18 13:45:52+00:00,788.4000244140625,789.86,-0.18483979261356698,15.881725733333331,high,,minute_complete,1.0,0.9530413295885313,False,-2.3290263189716987,-3.0,0.9614352891884941,-2.7130915761113172
US,1,top3_per_day_upper_bound,2026-06-22,AAOI,172797,vwap_reclaim,2026-06-22 18:28:55+00:00,176.64999389648438,175.82,0.47207024029369826,298.9243628166667,high,,minute_complete,1.0,0.948001429823509,False,-4.61830973554829,-3.0,0.09624309856132894,-4.537108011499417
US,1,top3_per_day_upper_bound,2026-06-22,MTN,167539,vwap_reclaim,2026-06-22 14:08:12+00:00,145.75999450683594,144.78,0.67688527893075,38.202347499999995,mid,,minute_complete,1.0,0.9378630331953818,False,-0.25644141073875004,-0.25644141073875004,0.32931600193331045,-0.7134970673205111
US,1,top3_per_day_upper_bound,2026-06-22,CRDO,167310,pullback_reclaim,2026-06-22 14:07:17+00:00,304.1000061035156,302.0,0.6953662594422649,37.29267076666667,high,,minute_complete,1.0,0.871189964435821,False,-1.72986539851631,-3.0,0.29924486808448464,-2.8214458788675962
US,1,top3_per_day_upper_bound,2026-06-23,IREN,179780,vwap_reclaim,2026-06-23 13:46:46+00:00,55.51810073852539,55.5,0.03261394328899492,16.778917483333334,mid,,minute_complete,1.0,0.9912232391106945,True,-0.0642906011012842,1.1999999999999997,3.6418756227352467,-0.7350758090516546
US,1,top3_per_day_upper_bound,2026-06-23,CRWV,180099,vwap_reclaim,2026-06-23 14:06:48+00:00,109.2699966430664,109.38,-0.10056990028669555,36.80132353333333,high,,minute_complete,1.0,0.9217701691175211,True,-2.238715816530616,1.1999999999999997,2.5075552094271307,-1.9214735798604645
US,1,top3_per_day_upper_bound,2026-06-23,SMCI,179800,immediate,2026-06-23 13:46:46+00:00,33.15999984741211,33.145,0.04525523431018197,16.779444,mid,,minute_complete,1.0,0.9207537269451447,True,0.6366095324867604,1.1999999999999997,3.769601947382256,-0.030761461203918924
