session_date,ticker,selection_rank,alpha_score,predicted_net_pct,probability,net_return_pct,excess_pct,date,entry_date_5d,exit_date_5d,entry_open_5d,exit_close_5d,gross_usd_5d_pct,gross_krw_5d_pct,net_krw_5d_pct
2025-02-03,SMCI,1,0.9411764705882353,3.305314381991696,0.6387274466968885,51.9212082924272,50.30733928240159,2025-02-03,2025-02-04,2025-02-10,27.81999969482422,42.650001525878906,53.30698056698304,52.4212082924272,51.9212082924272
2025-02-03,RKLB,2,0.9117647058823529,0.8893464670014848,0.6909878724030932,4.335286619570067,2.72141760954446,2025-02-03,2025-02-04,2025-02-10,29.020000457763672,30.600000381469727,5.444520671202668,4.835286619570067,4.335286619570067
2025-02-03,APLD,3,0.7941176470588236,6.118072956599877,0.5698060770919015,6.580235455527628,4.966366445502021,2025-02-03,2025-02-04,2025-02-10,7.53000020980835,8.109999656677246,7.7025156800581085,7.080235455527628,6.580235455527628
2025-02-04,MARA,1,1.0,0.5946328347581316,0.6310969911308573,-10.512931418242188,-9.45161694040821,2025-02-04,2025-02-05,2025-02-11,17.84000015258789,16.020000457763672,-10.201791924089232,-10.012931418242188,-10.512931418242188
2025-02-04,RIVN,2,0.9411764705882353,-0.7048887459933648,0.6092817185696938,-3.184133085706708,-2.1228186078727296,2025-02-04,2025-02-05,2025-02-11,12.8100004196167,12.4399995803833,-2.8883749189172137,-2.684133085706708,-3.184133085706708
2025-02-04,CAG,3,0.7352941176470589,-0.7803043295833577,0.3840315321032202,-1.1669628246318116,-0.10564834679783286,2025-02-04,2025-02-05,2025-02-11,22.797128019721438,22.597553253173828,-0.8754381971929126,-0.6669628246318116,-1.1669628246318116
2025-02-05,RKLB,1,0.8823529411764706,7.592993720248908,0.7846395106075771,-3.399843388789314,-1.7946254683591256,2025-02-05,2025-02-06,2025-02-12,28.57999992370605,27.6200008392334,-3.358989107891386,-2.899843388789314,-3.399843388789314
2025-02-05,OXY,2,0.7941176470588236,1.713890013676658,0.8105824407805811,-0.06689053577678639,1.5383273846534018,2025-02-05,2025-02-06,2025-02-12,46.38345368418742,46.36406707763672,-0.04179638429406829,0.4331094642232136,-0.06689053577678639
2025-02-05,WBD,3,0.7941176470588236,1.3311547087357107,0.829409696848873,-4.800149890051985,-3.194931969621797,2025-02-05,2025-02-06,2025-02-12,10.3100004196167,9.81999969482422,-4.752674149849312,-4.300149890051985,-4.800149890051985
2025-02-06,RKLB,1,0.9117647058823529,2.529803649484561,0.7909406642138469,1.3429063750505348,0.3174491248626494,2025-02-06,2025-02-07,2025-02-13,27.979999542236328,28.299999237060547,1.1436729809132906,1.8429063750505348,1.3429063750505348
2025-02-06,MARA,2,0.7941176470588236,9.85665077782292,0.6606338037237991,-2.1922429503015035,-3.217700200489389,2025-02-06,2025-02-07,2025-02-13,17.31999969482422,16.90999984741211,-2.367204703442527,-1.6922429503015035,-2.1922429503015035
2025-02-06,PFE,3,0.7941176470588236,1.2233607746685826,0.8333433605677071,-0.6652928230397865,-1.690750073227672,2025-02-06,2025-02-07,2025-02-13,23.71842717945717,23.516645431518555,-0.8507383158752657,-0.16529282303978654,-0.6652928230397865
2025-02-07,OXY,1,0.8529411764705882,1.9722364854393897,0.8182638152625946,0.7025782355153503,-1.4583544907361117,2025-02-07,2025-02-10,2025-02-14,45.65643719434749,46.58702087402344,2.0382310510009827,1.2025782355153503,0.7025782355153503
2025-02-07,RIVN,2,0.8235294117647058,1.9746745832068193,0.7779561426628699,9.413900028317402,7.25296730206594,2025-02-07,2025-02-10,2025-02-14,12.65999984741211,14.029999732971191,10.821484218573119,9.913900028317402,9.413900028317402
