month,SPY,QQQ,KRW=X,069500.KS,229200.KS
2000-01-01,87.45142364501953,75.57384490966797,,,
2000-02-01,86.11983489990234,89.9513168334961,,,
2000-03-01,94.46611022949219,92.26854705810547,,,
2000-04-01,91.1484375,79.83964538574219,,,
2000-05-01,89.71533203125,70.04403686523438,,,
2000-06-01,91.48109436035156,78.73373413085938,,,
2000-07-01,90.04460906982422,75.36320495605469,,,
2000-08-01,95.92826080322266,85.63278198242188,,,
2000-09-01,90.66539764404297,74.78384399414062,,,
2000-10-01,90.24125671386719,68.84588623046875,,,
2000-11-01,83.5044937133789,53.07284927368164,,,
2000-12-01,83.06803131103516,49.18883514404297,,,
2001-01-01,86.76119995117188,54.18144607543945,,,
2001-02-01,78.48524475097656,39.9830322265625,,,
2001-03-01,74.0871810913086,32.989158630371094,,,
2001-04-01,80.41719818115234,38.887611389160156,,,
2001-05-01,79.96638488769531,37.69107437133789,,,
2001-06-01,78.06085205078125,38.50843048095703,,,
2001-07-01,77.26496887207031,35.18846130371094,,,
2001-08-01,72.68062591552734,30.86573028564453,,,
2001-09-01,66.74767303466797,24.4195613861084,,,
2001-10-01,67.61686706542969,28.565336227416992,,,
2001-11-01,72.88945770263672,33.410499572753906,,,
2001-12-01,73.30049133300781,32.78693389892578,,,
2002-01-01,72.58219146728516,32.44990158081055,,,
2002-02-01,71.2803726196289,28.46421241760254,,,
2002-03-01,73.6519546508789,30.385398864746094,,,
2002-04-01,69.36864471435547,26.73680877685547,,,
2002-05-01,68.95703887939453,25.312753677368164,,,
2002-06-01,63.86748504638672,21.992773056030273,,,
2002-07-01,58.83346176147461,20.09684944152832,,,
2002-08-01,59.233585357666016,19.793502807617188,,,
2002-09-01,53.02279281616211,17.459394454956055,,,
2002-10-01,57.385765075683594,20.686689376831055,,,
2002-11-01,60.925376892089844,23.35784912109375,,,
2002-12-01,57.47882843017578,20.535015106201172,,,
2003-01-01,56.065147399902344,20.594005584716797,,,
2003-02-01,55.30945587158203,21.20069694519043,,,
2003-03-01,55.427772521972656,21.276535034179688,,,
2003-04-01,60.117637634277344,23.130338668823242,,,
2003-05-01,63.41428756713867,25.10210609436035,,,
2003-06-01,64.08972930908203,25.23691749572754,,,
2003-07-01,65.24510192871094,26.795795440673828,,,
2003-08-01,66.59081268310547,28.135591506958008,,,
2003-09-01,65.86458587646484,27.318225860595703,,,
2003-10-01,69.3901138305664,29.643905639648438,,,
2003-11-01,70.14793395996094,29.812435150146484,,,
2003-12-01,73.67727661132812,30.734487533569336,1189.9000244140625,,
2004-01-01,75.13387298583984,31.248676300048828,1160.0,,
2004-02-01,76.15345001220703,30.82720184326172,1172.800048828125,,
2004-03-01,75.14482116699219,30.21183967590332,1166.300048828125,,
2004-04-01,73.72293853759766,29.309877395629883,1162.699951171875,,
2004-05-01,74.98529815673828,30.81035041809082,1159.4000244140625,,
2004-06-01,76.3726577758789,31.813480377197266,1155.699951171875,,
2004-07-01,73.91202545166016,29.411026000976562,1170.0999755859375,,
2004-08-01,74.09207153320312,28.67764663696289,1150.5999755859375,,
2004-09-01,74.83573150634766,29.621768951416016,1150.800048828125,,
2004-10-01,75.80000305175781,31.10538101196289,1106.300048828125,,
2004-11-01,79.17439270019531,32.97676467895508,1047.5999755859375,,
2004-12-01,81.55923461914062,33.97343063354492,1002.5999755859375,,
2005-01-01,79.73059844970703,31.828834533691406,1025.4100341796875,,
2005-02-01,81.39729309082031,31.67562484741211,1003.7999877929688,,
2005-03-01,79.90825653076172,31.122468948364258,1017.0,,
2005-04-01,78.41119384765625,29.769325256347656,996.6599731445312,,
2005-05-01,80.93798828125,32.40752410888672,1007.0,,
2005-06-01,81.06056213378906,31.330120086669922,1033.800048828125,,
2005-07-01,84.1620864868164,33.715232849121094,1023.0,,
2005-08-01,83.37315368652344,33.204132080078125,1039.5,,
2005-09-01,84.04220581054688,33.613014221191406,1032.0999755859375,,
2005-10-01,82.05451965332031,33.11043167114258,1044.0999755859375,,
2005-11-01,85.66104125976562,35.12925338745117,1019.0999755859375,,
2005-12-01,85.49713897705078,34.50529098510742,999.4500122070312,,
2006-01-01,87.55024719238281,35.862937927246094,948.0800170898438,,
2006-02-01,88.05152893066406,35.09444046020508,952.760009765625,,
2006-03-01,89.50469970703125,35.82828140258789,964.0900268554688,,
2006-04-01,90.63530731201172,35.759944915771484,922.469970703125,,
2006-05-01,87.90532684326172,33.170860290527344,937.1799926757812,,
2006-06-01,88.13456726074219,33.15044403076172,936.4600219726562,,
2006-07-01,88.5292739868164,31.722505569458008,941.9500122070312,,
2006-08-01,90.46121215820312,33.235931396484375,950.1500244140625,,
2006-09-01,92.90380096435547,34.77794647216797,936.3800048828125,,
2006-10-01,95.83177185058594,36.42913055419922,925.1500244140625,,
2006-11-01,97.73743438720703,37.67823028564453,919.8099975585938,,
2006-12-01,99.04432678222656,36.9703483581543,916.9400024414062,,
2007-01-01,100.53396606445312,37.7498664855957,924.0399780273438,13330.615234375,
2007-02-01,98.56177520751953,37.115989685058594,928.5999755859375,13929.99609375,
2007-03-01,99.70403289794922,37.31076431274414,932.3599853515625,,
2007-04-01,104.12047576904297,39.39359664916992,930.5499877929688,,
2007-05-01,107.65222930908203,40.63643264770508,931.4099731445312,,
2007-06-01,106.07823944091797,40.83120346069336,921.5599975585938,,
2007-07-01,102.7569351196289,40.77114486694336,920.4400024414062,,
2007-08-01,104.0755386352539,41.92059326171875,937.0999755859375,,
2007-09-01,108.10478210449219,44.12233352661133,911.3900146484375,,
2007-10-01,109.57144165039062,47.22915267944336,898.6900024414062,,
2007-11-01,105.32746124267578,44.03650665283203,919.47998046875,,
2007-12-01,104.1413803100586,44.00508117675781,926.3599853515625,,
2008-01-01,97.84490203857422,38.77293014526367,941.219970703125,,
2008-02-01,95.31631469726562,36.89999771118164,937.8400268554688,,
2008-03-01,94.46397399902344,37.59086990356445,992.280029296875,,
2008-04-01,98.96636962890625,40.59164047241211,1002.4000244140625,,
2008-05-01,100.4624252319336,42.99909210205078,1029.0999755859375,,
2008-06-01,92.06615447998047,38.864715576171875,1046.0,,
2008-07-01,91.2388687133789,39.114234924316406,1010.7000122070312,,
2008-08-01,92.64884185791016,39.6821174621582,1088.4000244140625,,
2008-09-01,83.92378234863281,33.50110626220703,1204.800048828125,,
2008-10-01,70.0606918334961,28.317956924438477,1289.199951171875,,
2008-11-01,65.18400573730469,25.072021484375,1467.9000244140625,,
2008-12-01,65.82257080078125,25.64301300048828,1242.199951171875,,
2009-01-01,60.41758728027344,25.056699752807617,1377.0999755859375,,
2009-02-01,53.9257926940918,23.737462997436523,1530.300048828125,,
2009-03-01,58.41838836669922,26.18634796142578,1375.0999755859375,,
2009-04-01,64.22199249267578,29.60646629333496,1278.0999755859375,13253.21484375,
2009-05-01,67.97600555419922,30.55650520324707,1250.0999755859375,13470.359375,
2009-06-01,67.93148803710938,31.458812713623047,1272.5999755859375,13500.3095703125,
2009-07-01,72.99954986572266,34.113529205322266,1223.0999755859375,15328.232421875,
2009-08-01,75.69612121582031,34.61505126953125,1249.5,15643.5048828125,
2009-09-01,78.38013458251953,36.570106506347656,1173.699951171875,16634.36328125,
2009-10-01,76.87324523925781,35.45353317260742,1185.5,15673.53125,
2009-11-01,81.60913848876953,37.70399475097656,1160.5999755859375,15515.892578125,
2009-12-01,83.16801452636719,39.66567611694336,1151.0999755859375,16945.876953125,
2010-01-01,80.14543914794922,37.099308013916016,1158.199951171875,16052.607421875,
2010-02-01,82.64556884765625,38.80733871459961,1161.4000244140625,15898.728515625,
2010-03-01,87.67698669433594,41.79973220825195,1131.5999755859375,16949.63671875,
2010-04-01,89.0333480834961,42.737098693847656,1107.9000244140625,17454.44921875,
2010-05-01,81.9592514038086,39.57780456542969,1200.0,16389.68359375,
2010-06-01,77.71859741210938,37.2127685546875,1227.199951171875,16887.84375,
2010-07-01,83.02684020996094,39.91374969482422,1184.0999755859375,17549.185546875,
2010-08-01,79.29222106933594,37.86622619628906,1193.0999755859375,17389.12109375,
2010-09-01,86.39321899414062,42.85429000854492,1139.199951171875,18566.689453125,
2010-10-01,89.69363403320312,45.57035446166992,1132.4000244140625,18711.501953125,
2010-11-01,89.69363403320312,45.491729736328125,1163.0,19306.0,
2010-12-01,95.68983459472656,47.655826568603516,1127.0999755859375,20998.044921875,
