month,gross_return,net_return,turnover,invested,weight_SPY,strategy,market,weight_QQQ,weight_069500.KS,weight_229200.KS
2008-12-01,-0.1454670272947226,-0.1454670272947226,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-01-01,0.017565796469378947,0.017565796469378947,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-02-01,-0.00815392006214155,-0.00815392006214155,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-03-01,-0.026556575156279183,-0.026556575156279183,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-04-01,0.02179731247213401,0.02179731247213401,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-05-01,0.0352656047212454,0.0352656047212454,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-06-01,0.01733187274441117,0.01733187274441117,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-07-01,0.03280682978711558,0.03280682978711558,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-08-01,0.05932140279401543,0.05932140279401543,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-09-01,-0.027357584158820947,-0.027357584158820947,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-10-01,-0.009364967091262555,-0.009364967091262555,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-11-01,0.03930873314609684,0.03930873314609684,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2009-12-01,0.010759956533602955,0.010759956533602955,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-01-01,-0.03039917395163083,-0.03039917395163083,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-02-01,0.034044071188041425,0.034044071188041425,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-03-01,0.03365864399736873,0.03365864399736873,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-04-01,-0.0057977713771825146,-0.0057977713771825146,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-05-01,-0.002929305440839247,-0.002929305440839247,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-06-01,-0.03024717247015629,-0.03024717247015629,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-07-01,0.03078146017308203,0.03078146017308203,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-08-01,-0.037722042538127276,-0.037722042538127276,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-09-01,0.040332566355468114,0.040332566355468114,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-10-01,0.03200517868488051,0.03200517868488051,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-11-01,0.027022231478466052,0.027022231478466052,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2010-12-01,0.033919935518467614,0.033919935518467614,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-01-01,0.01449386826051513,0.01449386826051513,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-02-01,0.04371984033269638,0.04371984033269638,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-03-01,-0.0254352044500592,-0.0254352044500592,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-04-01,0.0013235695733579966,0.0013235695733579966,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-05-01,-0.005201336547864699,-0.005201336547864699,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-06-01,-0.02272094244581413,-0.02272094244581413,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-07-01,-0.03824921335660425,-0.03824921335660425,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-08-01,-0.03443537340642322,-0.03443537340642322,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-09-01,0.02191798376816889,0.02191798376816889,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-10-01,0.040355059704244134,0.040355059704244134,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-11-01,0.028683530174540728,0.028683530174540728,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2011-12-01,0.023828452017989,0.023828452017989,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-01-01,0.019477430177648136,0.019477430177648136,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-02-01,0.04238560064384389,0.04238560064384389,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-03-01,0.04446227654787438,0.04446227654787438,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-04-01,-0.012175003320822997,-0.012175003320822997,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-05-01,-0.020188504716319944,-0.020188504716319944,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-06-01,0.02064637900723154,0.02064637900723154,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-07-01,-0.006096926246689782,-0.006096926246689782,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-08-01,0.02234679508242965,0.02234679508242965,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-09-01,0.008889289071965178,0.008889289071965178,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-10-01,-0.040291974664980246,-0.040291974664980246,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-11-01,-0.0019036359886477339,-0.0019036359886477339,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2012-12-01,-0.03209051430588683,-0.03209051430588683,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-01-01,0.0990864406855112,0.0990864406855112,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-02-01,0.01135921821666197,0.01135921821666197,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-03-01,0.06488073479258882,0.06488073479258882,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-04-01,0.011146351526314824,0.011146351526314824,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-05-01,0.046249437933888915,0.046249437933888915,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-06-01,0.003805519220208442,0.003805519220208442,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-07-01,0.020600003799281064,0.020600003799281064,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-08-01,-0.03138674828026056,-0.03138674828026056,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-09-01,-0.0016684106627611328,-0.0016684106627611328,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-10-01,0.029189086938058884,0.029189086938058884,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-11-01,0.03148672617510995,0.03148672617510995,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2013-12-01,0.020313501434443326,0.020313501434443326,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-01-01,-0.012371714577976922,-0.012371714577976922,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-02-01,0.03524745813814456,0.03524745813814456,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-03-01,0.006267616312268576,0.006267616312268576,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-04-01,-0.028085056433733158,-0.028085056433733158,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-05-01,0.012372158521694487,0.012372158521694487,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-06-01,0.015394187053789476,0.015394187053789476,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-07-01,-0.003410021089593651,-0.003410021089593651,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-08-01,0.029918409340223162,0.029918409340223162,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-09-01,0.02315462956335934,0.02315462956335934,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-10-01,0.025107711149053857,0.025107711149053857,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-11-01,0.07164023504546013,0.07164023504546013,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2014-12-01,-0.0059851771619071625,-0.0059851771619071625,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-01-01,-0.026528601754387426,-0.026528601754387426,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-02-01,0.058002106289546385,0.058002106289546385,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-03-01,-0.011386388777467449,-0.011386388777467449,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-04-01,-0.023534808094644366,-0.023534808094644366,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-05-01,0.04888964804356366,0.04888964804356366,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-06-01,-0.010382421051485569,-0.010382421051485569,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-07-01,0.07064504604329214,0.07064504604329214,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-08-01,-0.05547225239570697,-0.05547225239570697,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-09-01,-0.011811718371987578,-0.011811718371987578,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
