month,gross_return,net_return,turnover,weight_SCHG,weight_BIL,strategy
2014-11-01,0.07514907280481231,0.07514907280481231,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2014-12-01,-0.007715680654358015,-0.007715680654358015,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-01-01,-0.009976320380414627,-0.009976320380414627,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-02-01,0.06735829957150385,0.06735829957150385,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-03-01,-0.00416194556333449,-0.00416194556333449,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-04-01,-0.0348389808119236,-0.0348389808119236,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-05-01,0.052910113383457746,0.052910113383457746,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-06-01,-0.00430183609561563,-0.00430183609561563,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-07-01,0.07781724627301023,0.07781724627301023,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-08-01,-0.054425270579142704,-0.054425270579142704,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-09-01,0.013619606169184895,0.008619606169184894,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2015-10-01,-0.04568063799023481,-0.04568063799023481,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2015-11-01,0.015753853438889243,0.010753853438889242,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2015-12-01,-0.006075368305717643,-0.006075368305717643,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-01-01,0.025909011202046583,0.020909011202046583,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2016-02-01,0.029445186214862584,0.029445186214862584,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2016-03-01,-0.08129690203049234,-0.08129690203049234,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2016-04-01,-0.005029188315046618,-0.005029188315046618,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2016-05-01,0.056834172109237135,0.056834172109237135,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2016-06-01,-0.04979352272641813,-0.054793522726418124,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
