month,SCHG,BIL,KRW=X
2007-01-01,,,924.0399780273438
2007-02-01,,,928.5999755859375
2007-03-01,,,932.3599853515625
2007-04-01,,,930.5499877929688
2007-05-01,,70.58757019042969,931.4099731445312
2007-06-01,,70.89579772949219,921.5599975585938
2007-07-01,,71.17906188964844,920.4400024414062
2007-08-01,,71.48214721679688,937.0999755859375
2007-09-01,,71.61788940429688,911.3900146484375
2007-10-01,,71.89976501464844,898.6900024414062
2007-11-01,,72.1841049194336,919.47998046875
2007-12-01,,72.35420989990234,926.3599853515625
2008-01-01,,72.63868713378906,941.219970703125
2008-02-01,,72.75743103027344,937.8400268554688
2008-03-01,,72.92725372314453,992.280029296875
2008-04-01,,72.87956237792969,1002.4000244140625
2008-05-01,,72.9496078491211,1029.0999755859375
2008-06-01,,73.12002563476562,1046.0
2008-07-01,,73.25724792480469,1010.7000122070312
2008-08-01,,73.31473541259766,1088.4000244140625
2008-09-01,,73.68740844726562,1204.800048828125
2008-10-01,,73.51604461669922,1289.199951171875
2008-11-01,,73.4791259765625,1467.9000244140625
2008-12-01,,73.50147247314453,1242.199951171875
2009-01-01,,73.64598083496094,1377.0999755859375
2009-02-01,,73.64275360107422,1530.300048828125
2009-03-01,,73.63797760009766,1375.0999755859375
2009-04-01,,73.68287658691406,1278.0999755859375
2009-05-01,,73.69091796875,1250.0999755859375
2009-06-01,,73.68131256103516,1272.5999755859375
2009-07-01,,73.63470458984375,1223.0999755859375
2009-08-01,,73.68609619140625,1249.5
2009-09-01,,73.70539093017578,1173.699951171875
2009-10-01,,73.70863342285156,1185.5
2009-11-01,,73.67809295654297,1160.5999755859375
2009-12-01,,73.70056915283203,1151.0999755859375
2010-01-01,2.703368663787842,73.70056915283203,1158.199951171875
2010-02-01,2.8098948001861572,73.68452453613281,1161.4000244140625
2010-03-01,2.975179433822632,73.68452453613281,1131.5999755859375
2010-04-01,3.015472173690796,73.6523666381836,1107.9000244140625
2010-05-01,2.76608943939209,73.68452453613281,1200.0
2010-06-01,2.6088128089904785,73.70056915283203,1227.199951171875
2010-07-01,2.7888433933258057,73.66846466064453,1184.0999755859375
2010-08-01,2.639364004135132,73.66846466064453,1193.0999755859375
2010-09-01,2.9395413398742676,73.66846466064453,1139.199951171875
2010-10-01,3.0816547870635986,73.68452453613281,1132.4000244140625
2010-11-01,3.1166365146636963,73.68452453613281,1163.0
2010-12-01,3.304170846939087,73.66846466064453,1127.0999755859375
2011-01-01,3.385240316390991,73.66846466064453,1117.4000244140625
2011-02-01,3.4794583320617676,73.66846466064453,1127.0999755859375
2011-03-01,3.4951579570770264,73.66846466064453,1098.300048828125
2011-04-01,3.596116781234741,73.66846466064453,1068.800048828125
2011-05-01,3.5544159412384033,73.68452453613281,1075.300048828125
2011-06-01,3.5000646114349365,73.68452453613281,1068.9000244140625
2011-07-01,3.4527668952941895,73.68452453613281,1049.0
2011-08-01,3.239374876022339,73.68452453613281,1071.800048828125
2011-09-01,2.9589991569519043,73.66846466064453,1177.0
2011-10-01,3.325151205062866,73.63629913330078,1104.0
2011-11-01,3.3141231536865234,73.6523666381836,1140.300048828125
2011-12-01,3.279672861099243,73.63949584960938,1155.4000244140625
2012-01-01,3.519864559173584,73.62348175048828,1125.699951171875
2012-02-01,3.6914303302764893,73.63949584960938,1124.5999755859375
2012-03-01,3.795051336288452,73.62348175048828,1138.0
2012-04-01,3.771754264831543,73.63949584960938,1131.699951171875
2012-05-01,3.52215313911438,73.63949584960938,1179.699951171875
2012-06-01,3.625138759613037,73.607421875,1157.0999755859375
2012-07-01,3.654059410095215,73.607421875,1136.5999755859375
2012-08-01,3.791990041732788,73.607421875,1133.5999755859375
2012-09-01,3.869379997253418,73.607421875,1115.4000244140625
2012-10-01,3.755608558654785,73.62348175048828,1090.300048828125
2012-11-01,3.8158411979675293,73.607421875,1082.0999755859375
2012-12-01,3.8335061073303223,73.607421875,1038.0999755859375
2013-01-01,4.020918369293213,73.607421875,1085.4000244140625
2013-02-01,4.04111909866333,73.607421875,1083.9000244140625
2013-03-01,4.18886661529541,73.607421875,1112.0
2013-04-01,4.260854721069336,73.5913314819336,1103.199951171875
2013-05-01,4.387960433959961,73.607421875,1127.5999755859375
2013-06-01,4.301705837249756,73.5913314819336,1147.199951171875
2013-07-01,4.548903942108154,73.5913314819336,1113.300048828125
2013-08-01,4.467630863189697,73.5913314819336,1111.699951171875
2013-09-01,4.653257369995117,73.57527160644531,1075.800048828125
2013-10-01,4.870743274688721,73.55917358398438,1058.199951171875
2013-11-01,5.01346492767334,73.54315948486328,1060.0999755859375
2013-12-01,5.138510227203369,73.54315948486328,1054.300048828125
2014-01-01,5.013567924499512,73.54315948486328,1079.300048828125
2014-02-01,5.272538185119629,73.55917358398438,1068.699951171875
2014-03-01,5.2400031089782715,73.54315948486328,1066.550048828125
2014-04-01,5.242280960083008,73.54315948486328,1029.43994140625
2014-05-01,5.419984817504883,73.54315948486328,1018.5399780273438
2014-06-01,5.544445514678955,73.52705383300781,1013.2999877929688
2014-07-01,5.493022918701172,73.51099395751953,1023.5999755859375
2014-08-01,5.727277755737305,73.52705383300781,1014.2000122070312
2014-09-01,5.635810852050781,73.52705383300781,1052.199951171875
2014-10-01,5.797391414642334,73.51099395751953,1053.800048828125
