month,gross_return,net_return,us_turnover,kr_turnover,cost_return,weight_QUAL,weight_MTUM,weight_QQQ,weight_SPY,weight_IWM,weight_EFA,weight_EEM,weight_IEF,weight_TLT,weight_GLD,weight_DBC,weight_BIL,weight_275280.KS,weight_275300.KS,weight_153130.KS
2018-08-01,0.030831197622660053,0.030484776874228344,0.1374761480835652,0.0026003602121867364,0.0003464207484317091,0.16,0.16,0.21169998777423224,0.06728258061827648,0.06093260283310186,0.0673669652305729,0.0,0.0,0.0,0.0,0.07271786354381651,0.0,0.0,0.0,0.2
2018-09-01,0.002326841508965218,0.001991082542311105,0.13192433017800248,0.0056648963896259175,0.00033575896665411344,0.16,0.16,0.22272026952906848,0.08500349566856943,0.07887024357288823,0.0,0.0,0.0,0.0,0.0,0.09340599122947381,5.551115123125783e-17,0.0,0.0,0.2
2018-10-01,-0.04998162686666595,-0.05001904947780789,0.014856876091240312,0.000267067536996235,3.7422611141946825e-05,0.16,0.16,0.22267430854258052,0.0846614280771569,0.08221569834115602,0.0,0.0,0.0,0.0,0.0,0.09044856503910655,0.0,0.0,0.0,0.2
2018-11-01,-0.01043333911634427,-0.012045131116528145,0.6401752133582495,0.010813301703096051,0.0016117920001838743,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.2
2018-12-01,-0.04909326642102202,-0.04965818240550994,0.22496776886810455,0.0023776783977719207,0.0005649159844879219,0.16,0.16,0.16,0.11199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20800000000000002,0.0,0.0,0.2
2019-01-01,0.03386762643846036,0.033238129299843176,0.24732692225242772,0.010647459986780239,0.0006294971386171886,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.11199999999999999,0.0,0.0,0.0,0.20800000000000002,0.0,0.0,0.2
2019-02-01,0.020170947810326828,0.019638918938676062,0.2101898167719012,0.006242218781916831,0.0005320288716507656,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.11199999999999999,0.09829880782251273,0.0,0.0,0.1097011921774873,0.0,0.0,0.2
2019-03-01,0.03766616183962569,0.03726084602300617,0.1605640873089168,0.0037196174735578125,0.0004053158166195277,0.16,0.16,0.1962226163063968,0.04242506334296949,0.0,0.0,0.0,0.11199999999999999,0.0754175172765629,0.0,0.0,0.05393480307407078,0.0,0.0,0.2
2019-04-01,0.038680002147814654,0.03862844283094639,0.017695656686053426,0.006971595383937379,5.1559316868267816e-05,0.16,0.16,0.20037043148068776,0.04724287636250692,0.0,0.0,0.0,0.11199999999999999,0.07291885743469913,0.0,0.0,0.047467834722106195,0.0,0.0,0.2
2019-05-01,-0.006920866907138616,-0.007100747635109871,0.06894088428751988,0.007170016430910003,0.00017988072797125518,0.16,0.16,0.1950387619815993,0.041224272861215855,0.028469538032086118,0.0,0.0,0.11199999999999999,0.06508059673245523,0.0,0.0,0.038186830392643534,0.0,0.0,0.2
2019-06-01,0.01988348234652169,0.019352285824846875,0.2117460720155567,0.0017441348913557475,0.0005311965216748153,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.11199999999999999,0.06738349289503283,0.09418656437590706,0.0,0.04642994272906015,0.0,0.0,0.2
2019-07-01,0.026595640377817517,0.02602266204042095,0.22768444178761177,0.0035878408833683595,0.0005729783373965661,0.16,0.16,0.18485007164169953,0.02887991216838208,0.0,0.03447341981596727,0.027964259582953736,0.10747529890670172,0.045626407072933646,0.050730630811362,0.0,5.551115123125783e-17,0.0,0.0,0.2
2019-08-01,0.027672944026822518,0.02735845042001659,0.12379555109859333,0.004766408628041785,0.0003144936068059272,0.16,0.16,0.19012232706550478,0.03536728899441895,0.0,0.0,0.0,0.11199999999999999,0.056447473474513975,0.06451859586623514,0.0,0.021544314599327208,0.0,0.0,0.2
2019-09-01,-0.0045381273851053125,-0.00465497987370421,0.04461238584333432,0.005068118086248852,0.0001168524885988971,0.16,0.16,0.19530443423120392,0.040594145721342303,0.0,0.0,0.0,0.11199999999999999,0.049235795539886495,0.06559375856606117,0.0,0.017271865941506148,0.0,0.0,0.2
2019-10-01,-0.008302807476915279,-0.008549195895673177,0.014147446973517011,0.2009712393562919,0.00024638841875789907,0.16,0.16,0.19585857783125712,0.041079375679385376,0.0,0.0,0.0,0.11199999999999999,0.05021085222745819,0.06137280984518008,0.0,0.01947838441671923,0.0,0.1,0.1
2019-11-01,0.028100598839221228,0.027628127716770902,0.18730752650670443,0.004002196365300581,0.0004724711224503267,0.16,0.16,0.1872226176419691,0.031089883785548098,0.023391521090965074,0.038860200221097034,0.03028136426799007,0.09164342117667004,0.03560074583729462,0.04191024597846597,0.0,-5.551115123125783e-17,0.0,0.1,0.1
2019-12-01,0.014681071380178785,0.014634192355813905,0.0157748378767695,0.007087552069482125,4.687902436487998e-05,0.16,0.16,0.187770713636599,0.031514160446593664,0.02367660446133936,0.03980045094922342,0.031942953906256136,0.08948195712577911,0.03590531649123555,0.03990784298297376,0.0,-5.551115123125783e-17,0.0,0.1,0.1
2020-01-01,0.03205169320496086,0.03165169388443773,0.07316080209198371,0.20675934789825814,0.00039999932052313034,0.16,0.16,0.18821354443897093,0.03409675166057452,0.02460684076867358,0.03786139088102391,0.025066746924471507,0.07445710678292863,0.029147140314612463,0.033475131336655146,0.033075346892089325,-5.551115123125783e-17,0.1,0.1,0.0
