date,usdkrw
2026-04-01,1503.3299560546875
2026-04-02,1512.0899658203125
2026-04-03,1509.219970703125
2026-04-06,1509.260009765625
2026-04-07,1507.8499755859375
2026-04-08,1499.1300048828125
2026-04-09,1477.5999755859375
2026-04-10,1473.280029296875
2026-04-13,1482.1800537109375
2026-04-14,1476.8399658203125
2026-04-15,1469.4200439453125
2026-04-16,1474.06005859375
2026-04-17,1477.9200439453125
2026-04-20,1465.1500244140625
2026-04-21,1469.260009765625
2026-04-22,1485.800048828125
2026-04-23,1477.9599609375
2026-04-24,1479.949951171875
2026-04-27,1474.68994140625
2026-04-28,1473.0
2026-04-29,1471.989990234375
2026-04-30,1487.3800048828125
2026-05-01,1474.010009765625
2026-05-04,1471.72998046875
2026-05-05,1476.050048828125
2026-05-06,1473.9599609375
2026-05-07,1444.449951171875
2026-05-08,1454.7900390625
2026-05-11,1460.550048828125
2026-05-12,1474.449951171875
2026-05-13,1492.989990234375
2026-05-14,1489.8399658203125
2026-05-15,1493.3399658203125
2026-05-18,1497.1500244140625
2026-05-19,1492.3199462890625
2026-05-20,1507.8499755859375
2026-05-21,1499.77001953125
2026-05-22,1504.4000244140625
2026-05-25,1512.8299560546875
2026-05-26,1514.7900390625
2026-05-27,1505.43994140625
2026-05-28,1503.1099853515625
2026-05-29,1495.2900390625
2026-06-01,1506.8399658203125
2026-06-02,1511.27001953125
2026-06-03,1516.5999755859375
2026-06-04,1530.1099853515625
2026-06-05,1533.0699462890625
2026-06-08,1554.47998046875
2026-06-09,1528.8800048828125
2026-06-10,1525.81005859375
2026-06-11,1525.050048828125
2026-06-12,1517.3800048828125
2026-06-15,1509.5
2026-06-16,1513.31005859375
2026-06-17,1510.9599609375
2026-06-18,1525.4200439453125
2026-06-19,1537.56005859375
2026-06-22,1531.3299560546875
2026-06-23,1539.050048828125
2026-06-24,1535.25
2026-06-25,1542.760009765625
2026-06-26,1546.47998046875
2026-06-29,1535.239990234375
2026-06-30,1541.72998046875
2026-07-01,1548.6099853515625
2026-07-02,1551.81005859375
2026-07-03,1542.1300048828125
2026-07-06,1531.0
2026-07-07,1528.760009765625
2026-07-08,1519.8599853515625
2026-07-09,1503.3499755859375
2026-07-10,1505.9100341796875
2026-07-13,1498.47998046875
2026-07-14,1497.699951171875
2026-07-15,1491.780029296875
