month,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,GLD,DBC,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,BIL,KRW=X
2003-01-01,56.06514358520508,20.59400177001953,27.31788444519043,16.459877014160156,,43.1494026184082,39.57793426513672,,,5.6727375984191895,5.709938049316406,11.017828941345215,12.608718872070312,5.384440898895264,10.65132999420166,4.161293029785156,17.961214065551758,8.455191612243652,,
2003-02-01,55.3094482421875,21.200700759887695,26.497312545776367,16.112430572509766,,44.10040283203125,40.80375671386719,,,5.522268295288086,5.877799987792969,10.677960395812988,12.414535522460938,5.410525798797607,10.325043678283691,3.938765287399292,17.560718536376953,8.417341232299805,,
2003-03-01,55.42780685424805,21.276538848876953,26.553972244262695,15.738940238952637,,43.93282699584961,40.246944427490234,,,5.556364059448242,5.884977340698242,10.578200340270996,12.546457290649414,5.328547477722168,10.326271057128906,4.138295650482178,18.186697006225586,8.615217208862305,,
2003-04-01,60.117671966552734,23.130332946777344,29.283145904541016,17.33888816833496,7.516480922698975,43.99345016479492,40.668846130371094,,,6.05819034576416,5.83488130569458,11.908120155334473,13.904407501220703,5.816686153411865,10.632111549377441,4.495896816253662,18.78567123413086,9.62342643737793,,
2003-05-01,63.41426467895508,25.10209083557129,32.465911865234375,18.457639694213867,8.202192306518555,45.66121292114258,43.23895263671875,,,6.245619297027588,6.45449161529541,12.51447868347168,14.281258583068848,6.316004753112793,11.154818534851074,4.950209617614746,19.17363929748535,10.135116577148438,,
2003-06-01,64.0897445678711,25.236923217773438,32.840667724609375,18.815500259399414,8.546478271484375,45.34537124633789,42.45774459838867,,,6.301970958709717,6.3716044425964355,12.567485809326172,14.5795316696167,6.360716342926025,11.261261940002441,5.017383098602295,20.020437240600586,10.282034873962402,,
2003-07-01,65.24508666992188,26.795799255371094,34.975860595703125,19.10039710998535,9.031180381774902,43.06901168823242,38.22011947631836,,,6.7974982261657715,6.146413326263428,13.115238189697266,15.061391830444336,6.5582122802734375,11.244504928588867,4.681684494018555,19.720104217529297,10.471813201904297,,
2003-08-01,66.59085845947266,28.135583877563477,36.64930725097656,19.72926139831543,9.752532958984375,43.374855041503906,38.7191047668457,,,6.985980033874512,6.538512706756592,12.961664199829102,15.647445678710938,6.871217727661133,11.434430122375488,4.774679183959961,18.989717483520508,11.00698471069336,,
2003-09-01,65.86457061767578,27.318220138549805,35.935546875,20.325111389160156,9.689094543457031,45.53291702270508,41.01679992675781,,,6.671303749084473,6.403688907623291,13.07658576965332,15.219427108764648,6.811593532562256,11.389457702636719,5.012091636657715,19.039140701293945,10.481705665588379,,
2003-10-01,69.39012908935547,29.64390754699707,39.064395904541016,21.645376205444336,10.578670501708984,44.865238189697266,39.773502349853516,,,7.306956768035889,6.464931964874268,13.982325553894043,16.16043472290039,7.310911178588867,11.905120849609375,5.046422958374023,19.16921615600586,11.435626983642578,,
2003-11-01,70.14794158935547,29.81243896484375,40.5269775390625,22.19259262084961,10.77754020690918,44.875370025634766,39.90850830078125,,,7.471985340118408,6.515519142150879,13.930862426757812,16.480642318725586,7.415250301361084,12.04525089263916,5.057862281799316,19.57999038696289,11.538235664367676,,
2003-12-01,73.67726135253906,30.73447608947754,41.25827407836914,24.131677627563477,11.745844841003418,45.790916442871094,40.444610595703125,,,8.20446491241455,7.368561267852783,14.562708854675293,17.572900772094727,7.647757053375244,12.259517669677734,5.38925838470459,20.713045120239258,12.000367164611816,,1189.9000244140625
2004-01-01,75.13385772705078,31.24871253967285,43.04560089111328,24.40337371826172,12.030306816101074,46.255828857421875,41.19723129272461,,,7.841732501983643,7.534384727478027,15.03897762298584,17.750207901000977,7.974230766296387,12.259517669677734,5.500138282775879,21.283254623413086,11.931769371032715,,1160.0
2004-02-01,76.15348815917969,30.82720184326172,43.45520782470703,24.96441078186035,12.506072998046875,47.00139236450195,42.13731002807617,,,8.25057315826416,7.930226802825928,15.468670845031738,17.61886215209961,7.771589756011963,12.957486152648926,5.604086875915527,21.50996208190918,12.190909385681152,,1172.800048828125
2004-03-01,75.14476013183594,30.21185874938965,43.87070083618164,24.982065200805664,12.57485580444336,47.611000061035156,42.731895446777344,,,8.060331344604492,7.880655288696289,15.28902530670166,17.403345108032227,7.565199851989746,12.925376892089844,5.6638336181640625,20.613216400146484,12.115673065185547,,1166.300048828125
2004-04-01,73.72295379638672,29.309879302978516,41.449588775634766,24.13520622253418,11.342451095581055,45.541744232177734,40.06740188598633,,,7.687082290649414,8.014958381652832,14.623372077941895,17.396760940551758,7.276252269744873,13.09485149383545,5.421629905700684,21.253719329833984,11.97829818725586,,1162.699951171875
2004-05-01,74.98531341552734,30.810361862182617,42.341190338134766,24.410429000854492,11.475007057189941,45.299888610839844,39.964012145996094,,,7.903013229370117,7.990782260894775,14.872990608215332,17.825082778930664,7.561448574066162,13.02141284942627,5.4868364334106445,21.184846878051758,12.054617881774902,,1159.4000244140625
2004-06-01,76.37263488769531,31.8134822845459,44.13267135620117,25.229055404663086,11.58105182647705,45.595794677734375,40.3850212097168,,,8.299542427062988,8.489130020141602,14.938763618469238,18.925342559814453,7.7678399085998535,13.092849731445312,5.581860065460205,21.105728149414062,12.085774421691895,,1155.699951171875
2004-07-01,73.91204833984375,29.411020278930664,41.14412307739258,24.152847290039062,11.159735679626465,46.148284912109375,41.003517150878906,,,8.110493659973145,8.750699996948242,14.61992359161377,18.397058486938477,7.295019149780273,12.446441650390625,5.666435241699219,19.973087310791016,11.6272554397583,,1170.0999755859375
