session_date,ticker,selection_rank,alpha_score,predicted_net_pct,probability,net_return_pct,excess_pct,date,entry_date_5d,exit_date_5d,entry_open_5d,exit_close_5d,gross_usd_5d_pct,gross_krw_5d_pct,net_krw_5d_pct,fifth_close_net_pct,fifth_close_exit_date,fifth_close_exit_price,fifth_close_reason,live_tp12_sl6_conservative_net_pct,live_tp12_sl6_conservative_exit_date,live_tp12_sl6_conservative_exit_price,live_tp12_sl6_conservative_reason,live_tp12_sl6_optimistic_net_pct,live_tp12_sl6_optimistic_exit_date,live_tp12_sl6_optimistic_exit_price,live_tp12_sl6_optimistic_reason,tp12_no_sl_net_pct,tp12_no_sl_exit_date,tp12_no_sl_exit_price,tp12_no_sl_reason,tp12_sl8_net_pct,tp12_sl8_exit_date,tp12_sl8_exit_price,tp12_sl8_reason,tp12_sl10_net_pct,tp12_sl10_exit_date,tp12_sl10_exit_price,tp12_sl10_reason,tp12_sl12_net_pct,tp12_sl12_exit_date,tp12_sl12_exit_price,tp12_sl12_reason,tp12_sl15_net_pct,tp12_sl15_exit_date,tp12_sl15_exit_price,tp12_sl15_reason,tp12_sl20_net_pct,tp12_sl20_exit_date,tp12_sl20_exit_price,tp12_sl20_reason,tp12_sl25_net_pct,tp12_sl25_exit_date,tp12_sl25_exit_price,tp12_sl25_reason,tp12_sl30_net_pct,tp12_sl30_exit_date,tp12_sl30_exit_price,tp12_sl30_reason,tp16_sl6_net_pct,tp16_sl6_exit_date,tp16_sl6_exit_price,tp16_sl6_reason,no_tp_sl6_net_pct,no_tp_sl6_exit_date,no_tp_sl6_exit_price,no_tp_sl6_reason
2025-02-03,SMCI,1,0.9411764705882352,3.305314381991696,0.6387274466968885,51.9212082924272,50.30733928240159,2025-02-03,2025-02-04,2025-02-10,27.81999969482422,42.650001525878906,53.30698056698304,52.4212082924272,51.9212082924272,51.9212082924272,2025-02-10,42.650001525878906,FIFTH_CLOSE,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,10.817582257425185,2025-02-05,31.158399658203127,TP,14.793210195190344,2025-02-05,32.27119964599609,TP,51.9212082924272,2025-02-10,42.650001525878906,FIFTH_CLOSE
2025-02-03,RKLB,2,0.9117647058823528,0.8893464670014848,0.6909878724030932,4.335286619570067,2.72141760954446,2025-02-03,2025-02-04,2025-02-10,29.020000457763672,30.600000381469727,5.444520671202668,4.835286619570067,4.335286619570067,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,-7.476692481546598,2025-02-06,27.27880043029785,SL,-7.476692481546598,2025-02-06,27.27880043029785,SL,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,4.335286619570067,2025-02-10,30.600000381469727,FIFTH_CLOSE,-7.476692481546598,2025-02-06,27.27880043029785,SL,-7.476692481546598,2025-02-06,27.27880043029785,SL
2025-02-03,APLD,3,0.7941176470588236,6.118072956599877,0.5698060770919015,6.580235455527628,4.966366445502021,2025-02-03,2025-02-04,2025-02-10,7.53000020980835,8.109999656677246,7.7025156800581085,7.080235455527628,6.580235455527628,6.580235455527628,2025-02-10,8.109999656677246,FIFTH_CLOSE,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,10.852889905056163,2025-02-10,8.433600234985352,TP,6.580235455527628,2025-02-10,8.109999656677246,FIFTH_CLOSE,6.580235455527628,2025-02-10,8.109999656677246,FIFTH_CLOSE
2025-02-04,MARA,1,1.0,0.5946328347581316,0.6310969911308573,-10.512931418242188,-9.45161694040821,2025-02-04,2025-02-05,2025-02-11,17.84000015258789,16.020000457763672,-10.201791924089232,-10.012931418242188,-10.512931418242188,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-6.906425375162749,2025-02-06,16.769600143432616,SL,-6.906425375162749,2025-02-06,16.769600143432616,SL,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-8.306508761029606,2025-02-11,16.41280014038086,SL,-10.310715092311561,2025-02-11,16.056000137329104,SL,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-10.512931418242188,2025-02-11,16.020000457763672,FIFTH_CLOSE,-6.906425375162749,2025-02-06,16.769600143432616,SL,-6.906425375162749,2025-02-06,16.769600143432616,SL
2025-02-04,RIVN,2,0.9411764705882352,-0.7048887459933648,0.6092817185696938,-3.184133085706708,-2.1228186078727296,2025-02-04,2025-02-05,2025-02-11,12.8100004196167,12.4399995803833,-2.8883749189172137,-2.684133085706708,-3.184133085706708,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE,-3.184133085706708,2025-02-11,12.4399995803833,FIFTH_CLOSE
2025-02-04,CAG,3,0.7352941176470589,-0.7803043295833577,0.3840315321032202,-1.1669628246318116,-0.1056483467978328,2025-02-04,2025-02-05,2025-02-11,22.79712801972144,22.597553253173828,-0.8754381971929126,-0.6669628246318116,-1.1669628246318116,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE,-1.1669628246318227,2025-02-11,22.597553253173828,FIFTH_CLOSE
2025-02-05,RKLB,1,0.8823529411764706,7.592993720248908,0.7846395106075771,-3.399843388789314,-1.7946254683591256,2025-02-05,2025-02-06,2025-02-12,28.57999992370605,27.6200008392334,-3.358989107891386,-2.899843388789314,-3.399843388789314,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE,-3.399843388789314,2025-02-12,27.6200008392334,FIFTH_CLOSE
2025-02-05,OXY,2,0.7941176470588236,1.713890013676658,0.8105824407805811,-0.0668905357767863,1.5383273846534018,2025-02-05,2025-02-06,2025-02-12,46.38345368418742,46.36406707763672,-0.0417963842940682,0.4331094642232136,-0.0668905357767863,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE,-0.06689053577678639,2025-02-12,46.36406707763672,FIFTH_CLOSE
2025-02-05,WBD,3,0.7941176470588236,1.3311547087357107,0.829409696848873,-4.800149890051985,-3.194931969621797,2025-02-05,2025-02-06,2025-02-12,10.3100004196167,9.81999969482422,-4.752674149849312,-4.300149890051985,-4.800149890051985,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE,-4.800149890051985,2025-02-12,9.81999969482422,FIFTH_CLOSE
2025-02-06,RKLB,1,0.9117647058823528,2.529803649484561,0.7909406642138469,1.3429063750505348,0.3174491248626494,2025-02-06,2025-02-07,2025-02-13,27.979999542236328,28.299999237060547,1.1436729809132906,1.8429063750505348,1.3429063750505348,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE,1.3429063750505348,2025-02-13,28.299999237060547,FIFTH_CLOSE
