actual_net_pct,close_reason,closed_at,entry_price,exit_price,fee_pct_round_trip,filled_at,market,net_alignment_residual_pct,pnl_pct_net,prefill_below_vwap10,prefill_down_count3,prefill_fall_0p3,prefill_fall_0p5,prefill_fall_0p7,prefill_fall_1p0,prefill_ret_5m_pct,probe_confirmed_w15_t0p3,probe_confirmed_w15_t0p5,probe_confirmed_w15_t0p7,probe_confirmed_w15_t1p0,probe_confirmed_w30_t0p3,probe_confirmed_w30_t0p5,probe_confirmed_w30_t0p7,probe_confirmed_w30_t1p0,probe_confirmed_w60_t0p3,probe_confirmed_w60_t0p5,probe_confirmed_w60_t0p7,probe_confirmed_w60_t1p0,probe_exposure_w15_t0p3,probe_exposure_w15_t0p5,probe_exposure_w15_t0p7,probe_exposure_w15_t1p0,probe_exposure_w30_t0p3,probe_exposure_w30_t0p5,probe_exposure_w30_t0p7,probe_exposure_w30_t1p0,probe_exposure_w60_t0p3,probe_exposure_w60_t0p5,probe_exposure_w60_t0p7,probe_exposure_w60_t1p0,probe_net_w15_t0p3_pct,probe_net_w15_t0p5_pct,probe_net_w15_t0p7_pct,probe_net_w15_t1p0_pct,probe_net_w30_t0p3_pct,probe_net_w30_t0p5_pct,probe_net_w30_t0p7_pct,probe_net_w30_t1p0_pct,probe_net_w60_t0p3_pct,probe_net_w60_t0p5_pct,probe_net_w60_t0p7_pct,probe_net_w60_t1p0_pct,qty,session_date,ticker,v2_decision_id
-2.567694,CLOSED_AUDITED_BROKER_SELL,2026-05-27T14:49:10+00:00,37.965,37.18,0.5,2026-05-26T13:41:45+00:00,US,-7.138152513519458e-08,-2.567694,0,2,0,0,0,0,0.9325933924928087,0,0,0,0,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.8558979999999999,-0.8558979999999999,-0.8558979999999999,-0.8558979999999999,-2.8928068153163013,-2.8928068153163013,-0.8558979999999999,-0.8558979999999999,-2.8928068153163013,-2.8928068153163013,-0.8558979999999999,-0.8558979999999999,3.0,2026-05-26,HPE,dec_20260526_US_HPE_0a872247
-1.621829,CLOSED_AUDITED_BROKER_SELL,2026-05-27T14:27:52+00:00,139.95,138.38,0.5,2026-05-26T13:56:48+00:00,US,2.2472311433929804e-07,-1.621829,1,2,1,1,1,0,-0.9800460915908138,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.819061791273653,-2.0709260765262876,-2.3346891611608407,-2.3346891611608407,-1.819061791273653,-2.0709260765262876,-2.3346891611608407,-2.3346891611608407,-1.819061791273653,-2.0709260765262876,-2.3346891611608407,-2.3346891611608407,1.0,2026-05-26,RKLB,dec_20260526_US_RKLB_afc030e0
-0.90308,CLOSED_MFE_BREAKEVEN,2026-05-26T15:57:20+00:00,32.205,32.08,0.5,2026-05-26T14:16:34+00:00,US,-0.014941512187549466,-0.90308,1,1,0,0,0,0,0.5290948126174033,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.2109506812864523,-1.2415796662526861,-1.828235786900045,-1.828235786900045,-1.2109506812864523,-1.2415796662526861,-1.828235786900045,-1.828235786900045,-1.2109506812864523,-1.2415796662526861,-1.828235786900045,-1.828235786900045,4.0,2026-05-26,NVTS,dec_20260526_US_NVTS_52995dec
-0.653155,CLOSED_PROFIT_LADDER,2026-05-26T15:35:24+00:00,25.33,25.295,0.5,2026-05-26T14:19:09+00:00,US,-0.01497892420056568,-0.653155,1,0,0,0,0,0,-0.3341815854428054,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.2780228803921254,-1.2780228803921254,-1.2780228803921254,-1.4708977617531485,-1.2780228803921254,-1.2780228803921254,-1.2780228803921254,-1.4708977617531485,-1.2780228803921254,-1.2780228803921254,-1.2780228803921254,-1.4708977617531485,5.0,2026-05-26,WULF,dec_20260526_US_WULF_e557ffd3
-2.486344,CLOSED_AUDITED_BROKER_SELL,2026-05-27T13:34:05+00:00,16.11,15.79,0.5,2026-05-26T14:34:15+00:00,US,-1.1421477541517788e-07,-2.486344,1,3,1,1,0,0,-0.6074718925027867,1,1,0,0,1,1,1,0,1,1,1,0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,-2.6885167679986615,-2.888240212120249,-0.8287813333333333,-0.8287813333333333,-2.6885167679986615,-2.888240212120249,-2.9494814453977654,-0.8287813333333333,-2.6885167679986615,-2.888240212120249,-2.9494814453977654,-0.8287813333333333,18.0,2026-05-26,NOK,dec_20260526_US_NOK_68eb1ce3
-2.365642,CLOSED_CLAUDE_PRICE_PRE_CLOSE,2026-05-26T16:27:00+00:00,127.57,125.19,0.5,2026-05-26T16:26:53+00:00,US,3.924120037801515e-07,-2.365642,0,0,0,0,0,0,0.8371227371467116,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,-0.7885473333333333,1.0,2026-05-26,ON,dec_20260526_US_ON_9421048e
-9.772411,CLOSED_AUDITED_BROKER_SELL,2026-05-27T14:22:03+00:00,249.935,226.76,0.5,2026-05-26T16:28:07+00:00,US,-1.7318502010255088e-07,-9.772411,1,1,0,0,0,0,-0.2985066268763603,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,-3.257470333333333,1.0,2026-05-26,QCOM,dec_20260526_US_QCOM_0a3c99f0
5.759465,CLOSED_CLAUDE_PRICE_TARGET,2026-05-27T14:01:20+00:00,59.43,63.15,0.5,2026-05-26T18:47:14+00:00,US,8.329127609840725e-08,5.759465,0,1,0,0,0,0,0.021516200127469354,0,0,0,0,0,0,0,0,1,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.9198216666666665,1.9198216666666665,1.9198216666666665,1.9198216666666665,1.9198216666666665,1.9198216666666665,1.9198216666666665,1.9198216666666665,5.367928949885791,5.367928949885791,5.1801709987386015,5.004723027141992,4.0,2026-05-26,IREN,dec_20260526_US_IREN_3adcb77e
0.922475,CLOSED_CLAUDE_SELL,2026-05-27T19:46:47+00:00,14.06,14.26,0.5,2026-05-27T13:43:05+00:00,US,-1.0668562777649271e-07,0.922475,1,1,0,0,0,0,-0.10664337074959285,1,0,0,0,1,1,1,1,1,1,1,1,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7101062106204792,0.30749166666666666,0.30749166666666666,0.30749166666666666,0.7101062106204792,0.39758768221183777,0.39758768221183777,0.2322836949883848,0.7101062106204792,0.39758768221183777,0.39758768221183777,0.2322836949883848,10.0,2026-05-27,MARA,dec_20260527_US_MARA_8d9c737d
-0.307472,CLOSED_CLAUDE_PRICE_STOP,2026-05-27T14:49:18+00:00,418.13,419.435,0.5,2026-05-27T14:33:10+00:00,US,-0.11957589113434103,-0.307472,1,1,0,0,0,0,-0.25509484214809586,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.5258710184042215,-0.10249066666666667,-0.10249066666666667,-0.10249066666666667,-0.5258710184042215,-0.10249066666666667,-0.10249066666666667,-0.10249066666666667,-0.5258710184042215,-0.10249066666666667,-0.10249066666666667,-0.10249066666666667,1.0,2026-05-27,TSM,dec_20260527_US_TSM_6fdc344b
