strategy,market,asset,signal_date,entry_date,exit_date,signal_value,gross_pct,net_pct
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-11-16,2009-11-17,2009-11-17,1.0224933311516082,-0.7299270072992692,-0.9399270072992691
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-11-23,2009-11-24,2009-11-24,1.611450628190303,-1.36258660508084,-1.57258660508084
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-12-01,2009-12-02,2009-12-02,1.0330562625431527,0.737217598097506,0.527217598097506
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-12-09,2009-12-10,2009-12-10,1.0083090083401025,-0.2064693737095724,-0.4164693737095724
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-12-18,2009-12-21,2009-12-21,1.629810455206404,0.0,-0.21
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2009-12-21,2009-12-22,2009-12-22,1.1245408674028567,0.22784233310551016,0.017842333105510172
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-01-04,2010-01-05,2010-01-05,1.4644187088068472,-0.4387889425186531,-0.648788942518653
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-01-13,2010-01-14,2010-01-14,1.2451112135838605,0.7589285714285632,0.5489285714285632
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-01-19,2010-01-20,2010-01-20,1.6139866624981014,-0.6958034355294629,-0.9058034355294629
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-02-01,2010-02-02,2010-02-02,1.098365058624018,-1.4546294158392925,-1.6646294158392925
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-02-09,2010-02-10,2010-02-10,1.0311929526727326,-0.6398104265402882,-0.8498104265402882
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-02-11,2010-02-12,2010-02-12,1.5109275902682517,-0.5852059925093633,-0.7952059925093633
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-02-16,2010-02-17,2010-02-17,1.2797328246040074,0.927643784786647,0.717643784786647
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-02-24,2010-02-25,2010-02-25,1.0190563944294295,-1.6263940520446107,-1.8363940520446107
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-03-01,2010-03-02,2010-03-02,1.452172030842891,0.6303992528601476,0.4203992528601477
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-03-05,2010-03-08,2010-03-08,1.5081670059748253,0.748808713410476,0.538808713410476
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-04-14,2010-04-15,2010-04-15,1.196286797642343,-0.08583690987123971,-0.2958369098712397
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-04-29,2010-04-30,2010-04-30,1.7419714038683587,0.17459624618070269,-0.03540375381929731
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-05-03,2010-05-04,2010-05-04,1.4012598994490366,-0.659630606860151,-0.8696306068601509
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-05-10,2010-05-11,2010-05-11,5.197131124771981,-1.7078651685393242,-1.9178651685393242
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-05-12,2010-05-13,2010-05-13,1.8860066251356944,1.1363636363636465,0.9263636363636465
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-05-21,2010-05-24,2010-05-24,1.1048311699843438,1.4868105515587482,1.2768105515587482
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-05-27,2010-05-28,2010-05-28,3.7782016250690997,-0.2576715858514933,-0.46767158585149327
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-06-02,2010-06-03,2010-06-03,2.3682801747590077,1.505326540064833,1.295326540064833
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-06-10,2010-06-11,2010-06-11,2.8525711846419055,0.29552170947941825,0.08552170947941826
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-06-15,2010-06-16,2010-06-16,2.6819074171461343,0.04448398576513135,-0.16551601423486864
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-07-07,2010-07-08,2010-07-08,3.192535809694097,0.1576576576576505,-0.052342342342349496
