session_date,ticker,candidate_key,context_known_at,news_count,news_type,news_quality,candidate_source,market_open_elapsed_min,ret_3m_pct,ret_5m_pct,ret_10m_pct,vwap_distance_pct,pullback_from_high_pct,opening_range_break,momentum_state,data_quality,context_feature_complete,context_catalyst,context_positive_tape,context_vwap_reclaim,context_controlled_pullback,context_opening_range_break,context_tags,context_authority,entry_ts,entry_price,entry_delay_sec,price_source,h30_bar_count,h30_label_available,h30_return_pct,h30_mfe_pct,h30_mae_pct,h30_t1p6_s2p5_outcome,h30_t1p6_s2p5_target_before_stop,h30_t1p6_s2p5_target_hit_min,h30_t1p6_s2p5_stop_hit_min,h30_t1p6_s2p5_policy_gross_pct,h30_t1p6_s2p5_policy_net_pct,h30_t2p3_s2p5_outcome,h30_t2p3_s2p5_target_before_stop,h30_t2p3_s2p5_target_hit_min,h30_t2p3_s2p5_stop_hit_min,h30_t2p3_s2p5_policy_gross_pct,h30_t2p3_s2p5_policy_net_pct,h30_t3p6_s2p5_outcome,h30_t3p6_s2p5_target_before_stop,h30_t3p6_s2p5_target_hit_min,h30_t3p6_s2p5_stop_hit_min,h30_t3p6_s2p5_policy_gross_pct,h30_t3p6_s2p5_policy_net_pct,h60_bar_count,h60_label_available,h60_return_pct,h60_mfe_pct,h60_mae_pct,h60_t1p6_s2p5_outcome,h60_t1p6_s2p5_target_before_stop,h60_t1p6_s2p5_target_hit_min,h60_t1p6_s2p5_stop_hit_min,h60_t1p6_s2p5_policy_gross_pct,h60_t1p6_s2p5_policy_net_pct,h60_t2p3_s2p5_outcome,h60_t2p3_s2p5_target_before_stop,h60_t2p3_s2p5_target_hit_min,h60_t2p3_s2p5_stop_hit_min,h60_t2p3_s2p5_policy_gross_pct,h60_t2p3_s2p5_policy_net_pct,h60_t3p6_s2p5_outcome,h60_t3p6_s2p5_target_before_stop,h60_t3p6_s2p5_target_hit_min,h60_t3p6_s2p5_stop_hit_min,h60_t3p6_s2p5_policy_gross_pct,h60_t3p6_s2p5_policy_net_pct
2026-07-13,FLUT,cand_988482717e55860f5c1a,2026-07-13T22:45:05+09:00,0,,,day_gainers,14.883333333333333,0.7955463163875631,0.7778705066537217,2.170071502393256,1.08740184638918,-0.5139173225876648,,early_probe_only,minute_partial,True,False,True,False,True,False,"['POSITIVE_TAPE', 'CONTROLLED_PULLBACK']",RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,116.53500366210938,55.0,yfinance_intraday,30,1,-0.7336880165316306,0.3046258346276476,-1.6861920500578886,NO_TOUCH,0,,,-0.7336880165316306,-1.2336880165316306,NO_TOUCH,0,,,-0.7336880165316306,-1.2336880165316306,NO_TOUCH,0,,,-0.7336880165316306,-1.2336880165316306,60,1,-0.6049700166473881,0.3046258346276476,-1.6861920500578886,NO_TOUCH,0,,,-0.6049700166473881,-1.1049700166473881,NO_TOUCH,0,,,-0.6049700166473881,-1.1049700166473881,NO_TOUCH,0,,,-0.6049700166473881,-1.1049700166473881
2026-07-13,FRMI,cand_6faa16ef4dbc26bbd9a2,2026-07-13T22:45:05+09:00,0,,,most_actives,14.883333333333333,0.996933395868238,0.6901852212513493,2.223926094335793,2.2241717245078396,-0.6215056590660906,,early_probe_only,minute_partial,True,False,True,False,True,False,"['POSITIVE_TAPE', 'CONTROLLED_PULLBACK']",RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,6.684999942779541,55.0,yfinance_intraday,30,1,-4.822738905582746,0.2228901667475025,-4.822738905582746,STOP_FIRST,0,,15.0,-2.5,-3.0,STOP_FIRST,0,,15.0,-2.5,-3.0,STOP_FIRST,0,,15.0,-2.5,-3.0,60,1,-5.6843697485944755,0.2228901667475025,-5.759158643830887,STOP_FIRST,0,,15.0,-2.5,-3.0,STOP_FIRST,0,,15.0,-2.5,-3.0,STOP_FIRST,0,,15.0,-2.5,-3.0
2026-07-13,HOOD,cand_b8978a70bc86a69b80f1,2026-07-13T22:45:05+09:00,0,,,most_actives,14.882504866666666,,,,,0.0,,unknown,first_observed,False,False,False,False,False,False,['FEATURE_INCOMPLETE'],RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,110.18000030517578,55.0,yfinance_intraday,30,1,1.3704865965221025,1.6214367566611543,-1.1434951448646702,TARGET_FIRST,1,28.0,,1.6,1.1,NO_TOUCH,0,,,1.3704865965221025,0.8704865965221025,NO_TOUCH,0,,,1.3704865965221025,0.8704865965221025,60,1,0.18151837691797734,2.0601719501273763,-1.1434951448646702,TARGET_FIRST,1,28.0,,1.6,1.1,NO_TOUCH,0,,,0.18151837691797734,-0.31848162308202266,NO_TOUCH,0,,,0.18151837691797734,-0.31848162308202266
2026-07-13,INTC,cand_ec088ae7235aa03b37b0,2026-07-13T22:45:05+09:00,4,direct_catalyst,normal,most_actives,14.883333333333333,-0.9579532557291159,-0.6559385426016973,-2.070978606013052,-0.48819508908228837,-1.7870654999055713,,unknown,minute_partial,True,True,False,False,False,False,['CATALYST'],RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,103.80999755859376,55.0,yfinance_intraday,30,1,1.2619258441354475,1.7820049470168131,-0.08669332434946275,TARGET_FIRST,1,13.0,,1.6,1.1,NO_TOUCH,0,,,1.2619258441354475,0.7619258441354475,NO_TOUCH,0,,,1.2619258441354475,0.7619258441354475,60,1,1.3438053224820834,2.273384708461723,-0.08669332434946275,TARGET_FIRST,1,13.0,,1.6,1.1,NO_TOUCH,0,,,1.3438053224820834,0.8438053224820834,NO_TOUCH,0,,,1.3438053224820834,0.8438053224820834
2026-07-13,JD,cand_7b4baeb4a4efa4e7296a,2026-07-13T22:45:05+09:00,0,,,day_gainers,14.883333333333333,0.43267567546154684,0.8999661972128647,0.8653513509231159,0.5991669272883193,-0.3072726178720564,,unknown,minute_partial,True,False,True,False,True,False,"['POSITIVE_TAPE', 'CONTROLLED_PULLBACK']",RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,29.19499969482422,55.0,yfinance_intraday,30,1,-0.5137853060394604,0.03425322482055737,-0.7364280008059221,NO_TOUCH,0,,,-0.5137853060394604,-1.0137853060394604,NO_TOUCH,0,,,-0.5137853060394604,-1.0137853060394604,NO_TOUCH,0,,,-0.5137853060394604,-1.0137853060394604,60,1,-0.7706812256265239,0.03425322482055737,-1.0104472662359365,NO_TOUCH,0,,,-0.7706812256265239,-1.2706812256265239,NO_TOUCH,0,,,-0.7706812256265239,-1.2706812256265239,NO_TOUCH,0,,,-0.7706812256265239,-1.2706812256265239
2026-07-13,META,cand_5299c5542d3d19a4b6da,2026-07-13T22:45:05+09:00,16,direct_catalyst,normal,most_actives,14.883333333333333,0.01965274612527601,-0.0030263383704598468,1.8321710840750072,1.130279390100819,-0.36964598310154084,,unknown,minute_partial,True,True,False,True,False,False,"['CATALYST', 'VWAP_RECLAIM']",RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,671.02001953125,55.0,yfinance_intraday,30,1,-1.962690167502401,0.2950702529163296,-1.9999468800777742,NO_TOUCH,0,,,-1.962690167502401,-2.462690167502401,NO_TOUCH,0,,,-1.962690167502401,-2.462690167502401,NO_TOUCH,0,,,-1.962690167502401,-2.462690167502401,60,1,-1.8918969560829169,0.2950702529163296,-2.506632713576651,STOP_FIRST,0,,36.0,-2.5,-3.0,STOP_FIRST,0,,36.0,-2.5,-3.0,STOP_FIRST,0,,36.0,-2.5,-3.0
2026-07-13,MPC,cand_8c37625f2884fe51a884,2026-07-14T00:02:49+09:00,0,,,day_gainers,14.883333333333333,0.9153386916674222,1.1368702139731512,1.4336920568240208,0.5915970277815319,-0.2671191091599412,,early_strength,minute_partial,True,False,True,False,True,False,"['POSITIVE_TAPE', 'CONTROLLED_PULLBACK']",RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T15:03:00+00:00,294.3699951171875,11.0,yfinance_intraday,30,1,-0.2547814017870409,0.003400402823339199,-0.528244284938828,NO_TOUCH,0,,,-0.2547814017870409,-0.7547814017870409,NO_TOUCH,0,,,-0.2547814017870409,-0.7547814017870409,NO_TOUCH,0,,,-0.2547814017870409,-0.7547814017870409,60,1,0.08492713392900253,0.14268214651671496,-0.528244284938828,NO_TOUCH,0,,,0.08492713392900253,-0.41507286607099747,NO_TOUCH,0,,,0.08492713392900253,-0.41507286607099747,NO_TOUCH,0,,,0.08492713392900253,-0.41507286607099747
2026-07-13,MRVL,cand_311f23dd3dc1e489b66a,2026-07-13T22:45:05+09:00,0,,,day_losers,14.8748368,,-0.1070980972997626,,,-0.1070980972997626,,unknown,first_observed,False,False,False,False,False,False,['FEATURE_INCOMPLETE'],RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,218.6699981689453,55.0,yfinance_intraday,30,1,0.7614252338519201,1.0399241296185746,-0.5030369295913717,NO_TOUCH,0,,,0.7614252338519201,0.26142523385192007,NO_TOUCH,0,,,0.7614252338519201,0.26142523385192007,NO_TOUCH,0,,,0.7614252338519201,0.26142523385192007,60,1,0.9557764464222185,2.28074483434475,-0.5030369295913717,TARGET_FIRST,1,41.0,,1.6,1.1,NO_TOUCH,0,,,0.9557764464222185,0.4557764464222185,NO_TOUCH,0,,,0.9557764464222185,0.4557764464222185
2026-07-13,MSFT,cand_65c26d5de91ddf372d66,2026-07-13T22:45:05+09:00,0,,,most_actives,14.883343716666667,,,,,0.0,,unknown,first_observed,False,False,False,False,False,False,['FEATURE_INCOMPLETE'],RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T13:46:00+00:00,388.4400024414063,55.0,yfinance_intraday,30,1,-0.5921088915953665,0.1390198078281779,-0.9962916004695677,NO_TOUCH,0,,,-0.5921088915953665,-1.0921088915953665,NO_TOUCH,0,,,-0.5921088915953665,-1.0921088915953665,NO_TOUCH,0,,,-0.5921088915953665,-1.0921088915953665,60,1,-0.5985511771234298,0.1390198078281779,-1.1044198635461244,NO_TOUCH,0,,,-0.5985511771234298,-1.0985511771234298,NO_TOUCH,0,,,-0.5985511771234298,-1.0985511771234298,NO_TOUCH,0,,,-0.5985511771234298,-1.0985511771234298
2026-07-13,MXL,cand_212757aa6d4ebaf2faf5,2026-07-13T23:00:45+09:00,0,,,day_losers,8.016666666666667,-1.5605916056582236,-2.192984232760642,,-1.796332562673697,-3.009376793592622,,unknown,minute_partial,False,False,False,False,False,False,['FEATURE_INCOMPLETE'],RESEARCH_ONLY_NO_ORDER_AUTHORITY,2026-07-13T14:01:00+00:00,85.48999786376953,15.0,yfinance_intraday,30,1,4.58533851478915,4.971341801613427,-0.38600328682427687,TARGET_FIRST,1,8.0,,1.6,1.1,TARGET_FIRST,1,24.0,,2.3,1.7999999999999998,TARGET_FIRST,1,27.0,,3.6,3.1,60,1,5.778456620478889,5.930517980481653,-0.38600328682427687,TARGET_FIRST,1,8.0,,1.6,1.1,TARGET_FIRST,1,24.0,,2.3,1.7999999999999998,TARGET_FIRST,1,27.0,,3.6,3.1
