month,QUAL,MTUM,QQQ,SPY,IWM,EFA,EEM,IEF,TLT,GLD,DBC,BIL,275280.KS,275300.KS,153130.KS,KRW=X
2013-01-01,,,59.79997634887695,118.88359069824219,75.2131576538086,39.4106330871582,32.95356369018555,78.92835998535156,80.46031188964844,161.1999969482422,24.069608688354492,73.60740661621094,,,87758.828125,1085.4000244140625
2013-02-01,,,60.005653381347656,120.40038299560547,75.96882629394531,38.902793884277344,32.20089340209961,79.82222747802734,81.45693969726562,153.0,22.936721801757812,73.60740661621094,,,87977.6015625,1083.9000244140625
2013-03-01,,,61.82069778442383,124.9721908569336,79.50823211669922,39.4106330871582,31.872995376586914,80.05116271972656,81.11528778076172,154.4499969482422,23.088899612426758,73.60740661621094,,,88170.1171875,1112.0
2013-04-01,,44.38154602050781,63.38929748535156,127.3731460571289,79.23040008544922,41.388519287109375,32.26051330566406,81.27210235595703,84.91545867919922,142.77000427246094,22.209646224975586,73.59131622314453,,,88340.78125,1103.199951171875
2013-05-01,,44.51852798461914,65.65704345703125,130.38037109375,82.34571838378906,40.13896560668945,30.7030086517334,78.7486343383789,79.17440032958984,133.9199981689453,21.86301612854004,73.60740661621094,,,88533.2734375,1127.5999755859375
2013-06-01,,44.14964294433594,64.08438110351562,128.64053344726562,81.67211151123047,39.0640754699707,29.067825317382812,76.74353790283203,76.58438110351562,119.11000061035156,21.245845794677734,73.59131622314453,,,88695.1796875,1147.199951171875
2013-07-01,41.57004165649414,46.78814697265625,68.13066864013672,135.2882537841797,87.662109375,41.143402099609375,29.452878952026367,76.47290802001953,74.85508728027344,127.95999908447266,21.922197341918945,73.59131622314453,,,88878.9453125,1113.300048828125
2013-08-01,40.70745086669922,45.120819091796875,67.86094665527344,131.23068237304688,84.88833618164062,40.33894729614258,28.705432891845703,75.38504028320312,73.85176849365234,134.6199951171875,22.53936767578125,73.59131622314453,,,89075.84375,1111.699951171875
2013-09-01,42.25754165649414,46.480228424072266,71.14008331298828,135.3836212158203,90.39680480957031,43.49543380737305,30.774152755737305,76.77684783935547,74.33308410644531,128.17999267578125,21.778472900390625,73.57526397705078,,,89255.234375,1075.800048828125
2013-10-01,44.31300354003906,49.068214416503906,74.66642761230469,141.65283203125,92.58445739746094,44.91345977783203,32.05767059326172,77.37395477294922,75.39639282226562,127.73999786376953,21.770017623901367,73.55917358398438,,,89456.5,1058.199951171875
2013-11-01,46.13544845581055,50.61238098144531,77.3179702758789,145.85110473632812,96.24744415283203,45.15889358520508,31.974609375,76.69593811035156,73.35820770263672,120.69999694824219,21.567113876342773,73.54308319091797,,,89622.7890625,1060.0999755859375
2013-12-01,47.190643310546875,51.967559814453125,79.58113861083984,149.63250732421875,98.19274139404297,46.14161682128906,31.84459686279297,75.09252166748047,71.98664093017578,116.12000274658203,21.69392967224121,73.54308319091797,,,89813.7109375,1054.300048828125
2014-01-01,45.21183776855469,50.76425552368164,78.05211639404297,144.35821533203125,95.46896362304688,43.7417106628418,29.094385147094727,77.39275360107422,76.52384948730469,120.08999633789062,21.034486770629883,73.54308319091797,,,90002.1796875,1079.300048828125
2014-02-01,47.42442321777344,54.17508316040039,82.07371520996094,150.92877197265625,100.03131866455078,46.423545837402344,30.07715606689453,77.66944885253906,76.92485809326172,127.62000274658203,22.091283798217773,73.55917358398438,,,90172.703125,1068.699951171875
2014-03-01,47.20210266113281,52.322940826416016,79.83013153076172,152.1807861328125,99.28257751464844,46.210384368896484,31.242753982543945,77.23365783691406,77.48807525634766,123.61000061035156,22.08283233642578,73.54308319091797,,,90352.1640625,1066.550048828125
2014-04-01,47.554073333740234,51.80265808105469,79.57518005371094,153.23875427246094,95.5618667602539,46.98054885864258,31.486547470092773,77.81932830810547,79.1115951538086,124.22000122070312,22.3280086517334,73.54308319091797,,,90558.5859375,1029.43994140625
2014-05-01,48.66015625,53.9097900390625,83.1446304321289,156.7947998046875,96.31282806396484,47.730098724365234,32.415985107421875,79.23986053466797,81.44502258300781,120.43000030517578,22.00674057006836,73.54308319091797,,,90724.5859375,1018.5399780273438
2014-06-01,48.946533203125,55.026790618896484,85.74195098876953,160.0318145751953,101.39047241210938,48.16957473754883,33.194541931152344,79.06806945800781,81.2403564453125,128.0399932861328,22.471731185913086,73.52704620361328,,,90922.0390625,1013.2999877929688
2014-07-01,48.57643508911133,54.45269012451172,86.7553939819336,157.88134765625,95.2519760131836,46.915489196777344,33.647579193115234,78.89373016357422,81.77991485595703,123.38999938964844,21.406478881835938,73.510986328125,,,91204.7109375,1023.5999755859375
2014-08-01,50.687705993652344,56.95787048339844,91.10135650634766,164.1119384765625,99.85221099853516,47.00003433227539,34.59972381591797,80.37715911865234,85.6430435180664,123.86000061035156,21.161304473876953,73.52704620361328,,,91379.71875,1014.2000122070312
2014-09-01,50.29652786254883,56.57857894897461,90.41207885742188,161.8477783203125,93.93306732177734,45.17527389526367,31.912220001220703,79.53357696533203,83.833984375,116.20999908447266,19.631061553955078,73.52704620361328,,,91604.078125,1052.199951171875
2014-10-01,51.63810348510742,57.87812805175781,92.80072784423828,165.65948486328125,100.12654876708984,45.05549621582031,32.36526107788086,80.75544738769531,86.1968765258789,112.66000366210938,18.870162963867188,73.510986328125,,,91814.9609375,1053.800048828125
