2026-03-20 23:37:03 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:10 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:16 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:22 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:29 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:35 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:41 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:48 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:37:54 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:01 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:07 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:13 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:20 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:26 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:32 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:38 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:45 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:51 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:38:57 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:04 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:10 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:16 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:22 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:28 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:35 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:41 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:47 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:39:54 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:00 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:06 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:13 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:19 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:26 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:32 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:40:38 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
