date,open,high,low,close,volume
2024-11-14,236.328587018876,238.1515938133449,234.99301646894952,235.7924041748047,10172200
2024-11-15,235.3927154551627,240.22807462347745,235.3927154551627,239.14596557617188,11518800
2024-11-18,241.53439878737493,241.7001253228993,236.58204483473264,238.8730010986328,9051400
2024-11-19,236.16284595910423,238.98997005346044,235.48043823378097,236.9817352294922,6792700
2024-11-20,238.258815534946,238.4635452900603,232.64355570287003,234.7297821044922,9015300
2024-11-21,237.118218093664,239.3214393160151,236.02636572707272,238.6097717285156,8783500
2024-11-22,237.48869284835715,242.8894800106903,236.92326500729263,242.3045654296875,7997300
2024-11-25,243.31841622067435,247.9198154691697,242.80173500159685,244.0008239746093,10295400
2024-11-26,244.19581114213256,244.6929907482795,242.099826399742,243.6888732910156,6212100
2024-11-27,243.08445057669925,244.8782123088469,242.5190227724709,243.5133819580078,5472300
2024-11-29,243.58162619864203,245.4436361118954,243.18192493185245,243.4451446533203,5494800
2024-12-02,243.27941409735303,243.9618218126636,238.8729866171908,240.0623321533203,8899700
2024-12-03,241.9925775855291,242.7822218687173,238.4830457852067,238.66827392578125,6657700
2024-12-04,238.551287978695,239.18496400289703,236.14335181254825,237.2839508056641,7346300
2024-12-05,239.22394107821933,240.9689561541284,238.47328515432952,239.31167602539065,6572500
2024-12-06,239.52616308454475,241.5149112550535,238.6877721646976,241.1444549560547,5519700
2024-12-09,240.9202230626304,241.64161912465173,237.6348929308697,237.6836395263672,7076500
2024-12-10,237.761640011308,241.7293780025581,236.1336048132352,236.7575225830078,9108300
2024-12-11,237.8688968446205,238.13211659229927,236.0946217033868,237.41070556640625,7884400
2024-12-12,236.89398581456337,237.9663513712801,234.98322942496952,235.4609222412109,6113800
2024-12-13,235.98738706163792,236.6210482199652,233.13100297592567,233.9109039306641,10392700
2024-12-16,234.564053927533,234.62254389276225,231.55170171524648,233.5599365234375,9032000
2024-12-17,232.6532966660905,233.0140095760977,230.6840650914864,232.3705902099609,8083600
